year,round,authority,counselling_scope,rank_raw,air,rank_type,allotted_quota,college_raw,course,seat_category,candidate_category,status,source_id
2024,MOPUP,MCC,AIQ,880,880,AIR,Open Seat Quota,"AIIMS, Rishikesh ,ALL INDIA INSTITUTE OF MEDICAL SCIENCES, RISHIKESH Uttarakhand - 249203, Uttarakhand, 249203",MBBS,OBC,OBC,Allotted,19
2024,MOPUP,MCC,AIQ,5074,5074,AIR,Open Seat Quota,"AIIMS, Raipur,Tatibandh, G E Road, Raipur Chhattisgarh, Pin - 492099, Chhattisgarh, 492099",MBBS,OBC,OBC,Allotted,19
2024,MOPUP,MCC,AIQ,5268,5268,AIR,All India,"KGMC, LUCKNOW,SHAHMINA ROAD, CHOWK, LUCKNOW, Uttar Pradesh, 226003",MBBS,OBC,OBC,Allotted,19
2024,MOPUP,MCC,AIQ,5455,5455,AIR,Open Seat Quota,"AIIMS Rajkot,Admission cell, Academic section, First floor, Academic block, Permanent Campus, AIIMS Rajkot, Khand, Gujarat, 360110",MBBS,Open,General,Allotted,19
2024,MOPUP,MCC,AIQ,6924,6924,AIR,All India,"Dr. B.S.A. Medical College, Delhi,DR.BABA SAHEB AMBEDKAR MEDICAL COLLEGE and HOSPITAL, ROHINI SEC-6, DELHI-110085, Delhi (NCT), 110085",MBBS,Open,General,Allotted,19
2024,MOPUP,MCC,AIQ,7381,7381,AIR,Open Seat Quota,"AIIMS, Deogarh ,AIIMS Deoghar Devipur, Jharkhand India, PIN - 814152, Jharkhand, 814152",MBBS,Open,General,Allotted,19
2024,MOPUP,MCC,AIQ,7484,7484,AIR,Open Seat Quota,"AIIMS Guwahati,PO-CHANGSARI, DISTRICT-KAMRUP, Assam, 781101",MBBS,EWS,EWS,Allotted,19
2024,MOPUP,MCC,AIQ,7512,7512,AIR,All India,"GOVT. MEDICAL COLLEGE,PATIALA,Sangrur road Government Medical College, Patiala, Punjab, 147001",MBBS,Open,General,Allotted,19
2024,MOPUP,MCC,AIQ,7607,7607,AIR,All India,"GRANT MEDICAL COLL & SIR J.J.HOSP,MUMBAI,Sir JJ Group of HospitalCompound, Sir JJ Road, Byculla Mumbai, Maharashtra, 400008",MBBS,Open,General,Allotted,19
2024,MOPUP,MCC,AIQ,7737,7737,AIR,All India,"B.J. Government Medical College, Pune,Sassoon Hospital Compound, Near Pune Railway station J.P. Narayan Road, Pune, Maharashtra, 411001",MBBS,Open,General,Allotted,19
2024,MOPUP,MCC,AIQ,7815,7815,AIR,All India,"SARDAR PATEL MEDICAL COLLEGE, BIKANER,MEDICAL COLLEGE ROAD, BIKANER, Rajasthan, 334003",MBBS,Open,General,Allotted,19
2024,MOPUP,MCC,AIQ,7847,7847,AIR,All India,"S.N. MEDICAL COLLEGE, AGRA,HOSPITAL ROAD AGRA, Uttar Pradesh, 282002",MBBS,OBC,OBC,Allotted,19
2024,MOPUP,MCC,AIQ,7881,7881,AIR,All India,"GRANT MEDICAL COLL & SIR J.J.HOSP,MUMBAI,Sir JJ Group of HospitalCompound, Sir JJ Road, Byculla Mumbai, Maharashtra, 400008",MBBS,Open,General,Allotted,19
