year,round,authority,counselling_scope,rank_raw,air,rank_type,allotted_quota,college_raw,course,seat_category,candidate_category,status,source_id
2023,R3,MCC,AIQ,1(A),1,AIR,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Reported,-,-,13
2023,R3,MCC,AIQ,1(B),1,AIR,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,13
2023,R3,MCC,AIQ,3,3,AIR,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,13
2023,R3,MCC,AIQ,4,4,AIR,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,13
2023,R3,MCC,AIQ,5,5,AIR,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,13
2023,R3,MCC,AIQ,6,6,AIR,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,13
2023,R3,MCC,AIQ,7,7,AIR,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,13
2023,R3,MCC,AIQ,8,8,AIR,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,13
2023,R3,MCC,AIQ,9,9,AIR,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Reported,-,-,13
2023,R3,MCC,AIQ,10,10,AIR,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,13
2023,R3,MCC,AIQ,11,11,AIR,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,13
2023,R3,MCC,AIQ,12,12,AIR,All India,"INST OF PG MED EDU & RESEARCH,KO LKATA",MBBS,Reported,-,-,13
2023,R3,MCC,AIQ,13,13,AIR,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,13
2023,R3,MCC,AIQ,14,14,AIR,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,13
2023,R3,MCC,AIQ,15,15,AIR,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,13
2023,R3,MCC,AIQ,16,16,AIR,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,13
2023,R3,MCC,AIQ,17,17,AIR,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,13
2023,R3,MCC,AIQ,18,18,AIR,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,13
2023,R3,MCC,AIQ,19,19,AIR,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,13
2023,R3,MCC,AIQ,20,20,AIR,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,13
2023,R3,MCC,AIQ,21,21,AIR,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,13
2023,R3,MCC,AIQ,22,22,AIR,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,13
2023,R3,MCC,AIQ,24,24,AIR,All India,"MADRAS MEDICAL COLLEGE, CHENNAI",MBBS,Not Reported,-,-,13
2023,R3,MCC,AIQ,25,25,AIR,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,13
2023,R3,MCC,AIQ,26,26,AIR,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,13
2023,R3,MCC,AIQ,27,27,AIR,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,13
2023,R3,MCC,AIQ,28,28,AIR,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,13
2023,R3,MCC,AIQ,29,29,AIR,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,13
2023,R3,MCC,AIQ,30,30,AIR,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,13
2023,R3,MCC,AIQ,31,31,AIR,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,13
2023,R3,MCC,AIQ,32,32,AIR,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,13
2023,R3,MCC,AIQ,33,33,AIR,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,13
2023,R3,MCC,AIQ,34,34,AIR,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,13
2023,R3,MCC,AIQ,35,35,AIR,Open Seat Quota,"AIIMS, Bhubaneswar",MBBS,Reported,-,-,13
2023,R3,MCC,AIQ,36,36,AIR,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,13
2023,R3,MCC,AIQ,37,37,AIR,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,13
2023,R3,MCC,AIQ,38,38,AIR,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,13
2023,R3,MCC,AIQ,39,39,AIR,All India,"Atal Bihari Vajpayee Institute of Medical Sciences & DR RML HOSPITAL, NEW DELHI",MBBS,Reported,-,-,13
2023,R3,MCC,AIQ,40,40,AIR,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,13
2023,R3,MCC,AIQ,41,41,AIR,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,13
2023,R3,MCC,AIQ,42,42,AIR,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,13
2023,R3,MCC,AIQ,43,43,AIR,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,13
2023,R3,MCC,AIQ,44,44,AIR,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,13
2023,R3,MCC,AIQ,45,45,AIR,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,13
2023,R3,MCC,AIQ,46,46,AIR,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,13
2023,R3,MCC,AIQ,47,47,AIR,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,13
2023,R3,MCC,AIQ,48,48,AIR,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,13
2023,R3,MCC,AIQ,49,49,AIR,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,13
2023,R3,MCC,AIQ,50,50,AIR,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,13
2023,R3,MCC,AIQ,51,51,AIR,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,13
2023,R3,MCC,AIQ,52,52,AIR,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,13
2023,R3,MCC,AIQ,53,53,AIR,All India,"SETH G.S. MEDICAL COLLEGE, MUMBAI",MBBS,Reported,-,-,13
2023,R3,MCC,AIQ,54,54,AIR,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,13
2023,R3,MCC,AIQ,55,55,AIR,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,13
2023,R3,MCC,AIQ,56,56,AIR,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,13
2023,R3,MCC,AIQ,57,57,AIR,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,13
2023,R3,MCC,AIQ,58,58,AIR,All India,"Maulana Azad Medical College, New Delhi",MBBS,Reported,-,-,13
2023,R3,MCC,AIQ,59,59,AIR,All India,"Vardhman Mahavir Medical College and Safdarjung Hospital New Delhi, VMMC",MBBS,Reported,-,-,13
2023,R3,MCC,AIQ,60,60,AIR,All India,"Maulana Azad Medical College, New Delhi",MBBS,Reported,Open Seat Quota,"JIPMER
PUDUCHERRY",13
2023,R3,MCC,AIQ,61,61,AIR,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Reported,-,-,13
2023,R3,MCC,AIQ,62,62,AIR,All India,"Maulana Azad Medical College, New Delhi",MBBS,Reported,-,-,13
2023,R3,MCC,AIQ,63,63,AIR,Open Seat Quota,"AIIMS, Bhubaneswar",MBBS,Reported,-,-,13
2023,R3,MCC,AIQ,64,64,AIR,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,13
2023,R3,MCC,AIQ,65,65,AIR,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Reported,-,-,13
2023,R3,MCC,AIQ,66,66,AIR,All India,"Maulana Azad Medical College, New Delhi",MBBS,Reported,-,-,13
2023,R3,MCC,AIQ,67,67,AIR,Open Seat Quota,"AIIMS, Bhubaneswar",MBBS,Reported,-,-,13
2023,R3,MCC,AIQ,68,68,AIR,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Reported,-,-,13
2023,R3,MCC,AIQ,69,69,AIR,All India,"Maulana Azad Medical College, New Delhi",MBBS,Reported,-,-,13
2023,R3,MCC,AIQ,70,70,AIR,All India,"SETH G.S. MEDICAL COLLEGE, MUMBAI",MBBS,Reported,-,-,13
2023,R3,MCC,AIQ,71,71,AIR,All India,"Maulana Azad Medical College, New Delhi",MBBS,Reported,-,-,13
2023,R3,MCC,AIQ,72,72,AIR,All India,"Maulana Azad Medical College, New Delhi",MBBS,Reported,-,-,13
2023,R3,MCC,AIQ,73,73,AIR,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,13
2023,R3,MCC,AIQ,74,74,AIR,All India,"Maulana Azad Medical College, New Delhi",MBBS,Reported,-,-,13
2023,R3,MCC,AIQ,75,75,AIR,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Reported,-,-,13
2023,R3,MCC,AIQ,76,76,AIR,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,13
2023,R3,MCC,AIQ,77,77,AIR,Open Seat Quota,"AIIMS, Bhubaneswar",MBBS,Reported,-,-,13
2023,R3,MCC,AIQ,78,78,AIR,All India,"Maulana Azad Medical College, New Delhi",MBBS,Reported,-,-,13
2023,R3,MCC,AIQ,79,79,AIR,All India,"Maulana Azad Medical College, New Delhi",MBBS,Reported,-,-,13
2023,R3,MCC,AIQ,80,80,AIR,All India,"Maulana Azad Medical College, New Delhi",MBBS,Reported,-,-,13
2023,R3,MCC,AIQ,81,81,AIR,All India,"Maulana Azad Medical College, New Delhi",MBBS,Reported,-,-,13
2023,R3,MCC,AIQ,82,82,AIR,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,13
2023,R3,MCC,AIQ,83,83,AIR,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,13
2023,R3,MCC,AIQ,84,84,AIR,All India,"Maulana Azad Medical College, New Delhi",MBBS,Reported,-,-,13
2023,R3,MCC,AIQ,85,85,AIR,All India,"Maulana Azad Medical College, New Delhi",MBBS,Reported,-,-,13
2023,R3,MCC,AIQ,86,86,AIR,All India,"Vardhman Mahavir Medical College and Safdarjung Hospital New Delhi, VMMC",MBBS,Reported,-,-,13
