year,round,authority,counselling_scope,rank_raw,air,rank_type,allotted_quota,college_raw,course,seat_category,candidate_category,status,source_id
2021,MOPUP,MCC,AIQ,215,215,AIR,All India,"University College of Medical Sciences, New Delhi",MBBS,Open,GN,Allotted,6
2021,MOPUP,MCC,AIQ,231,231,AIR,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Open,GN,Allotted,6
2021,MOPUP,MCC,AIQ,582,582,AIR,Open Seat Quota,"AIIMS, Nagpur",MBBS,Open,GN,Allotted,6
2021,MOPUP,MCC,AIQ,1109,1109,AIR,Open Seat Quota,AIIMS Bathinda,MBBS,Open,GN,Allotted,6
2021,MOPUP,MCC,AIQ,1325,1325,AIR,All India,"KGMC, LUCKNOW",MBBS,Open,GN,Allotted,6
2021,MOPUP,MCC,AIQ,1386,1386,AIR,Open Seat Quota,AIIMS Bathinda,MBBS,Open,GN,Allotted,6
2021,MOPUP,MCC,AIQ,1431,1431,AIR,Open Seat Quota,"AIIMS, Raipur",MBBS,Open,GN,Allotted,6
2021,MOPUP,MCC,AIQ,1555,1555,AIR,Open Seat Quota,"AIIMS, Raipur",MBBS,OBC,OBC,Allotted,6
2021,MOPUP,MCC,AIQ,1640,1640,AIR,Open Seat Quota,"AIIMS, Rishikesh",MBBS,OBC,OBC,Allotted,6
2021,MOPUP,MCC,AIQ,1683,1683,AIR,Open Seat Quota,"AIIMS, Nagpur",MBBS,Open,OBC,Allotted,6
2021,MOPUP,MCC,AIQ,1976,1976,AIR,All India,"GOVERNMENT MEDICAL COLLEGE, SURAT",MBBS,Open,EWS,Allotted,6
2021,MOPUP,MCC,AIQ,2128,2128,AIR,Open Seat Quota,AIIMS Bathinda,MBBS,Open,GN,Allotted,6
2021,MOPUP,MCC,AIQ,2168,2168,AIR,All India,"B.J. MEDICAL COLLEGE, AHMEDABAD",MBBS,OBC,OBC,Allotted,6
