year,round,authority,counselling_scope,rank_raw,air,rank_type,allotted_quota,college_raw,course,seat_category,candidate_category,status,source_id
2025,R2,MCC,AIQ,148,148,AIR,IP University Quota,"Atal Bihari Vajpayee Institute of Medical Sciences & DR RML HOSPITAL, NEW DELHI , ABVIMS, Dr. RML Hospital, B.K.S. Marg, New Delhi, Delhi (NCT), 110001",MBBS,Open,General,Upgraded,0
2025,R2,MCC,AIQ,207,207,AIR,Open Seat Quota,"AIIMS, New Delhi , AIIMS ANSARI NAGAR EAST AUROBINDO MARG NEW DELHI 110029, Delhi (NCT), 110029",MBBS,OBC,OBC,Upgraded,0
2025,R2,MCC,AIQ,260,260,AIR,Open Seat Quota,"JIPMER PUDUCHERRY , Dhanvantari Nagar Gorimedu Puducherry, Puducherry, 605006",MBBS,Open,General,Upgraded,0
2025,R2,MCC,AIQ,288,288,AIR,All India,"S.M.S. MEDICAL COLLEGE, JAIPUR , JLN Marg, Jaipur, Rajasthan, 302004",MBBS,Open,OBC,Upgraded,0
2025,R2,MCC,AIQ,294,294,AIR,Open Seat Quota,"AIIMS Mangalagiri , ALL INDIA INSTITUTE OF MEDICAL SCIENCES NEAR TADEPALLI MANGALAGIRI GUNTUR (Dt) ANDHRA PRADESH, Andhra Pradesh, 522503",MBBS,Open,General,Upgraded,0
2025,R2,MCC,AIQ,307,307,AIR,Open Seat Quota,"AIIMS, Bhubaneswar , AT - Sijua, POST - DUMUDUMA, BHUBANESWAR- 751019, Odisha, 751019",MBBS,Open,General,Upgraded,0
2025,R2,MCC,AIQ,317,317,AIR,Open Seat Quota,"AIIMS, Bhubaneswar , AT - Sijua, POST - DUMUDUMA, BHUBANESWAR- 751019, Odisha, 751019",MBBS,Open,General,Upgraded,0
2025,R2,MCC,AIQ,334,334,AIR,Open Seat Quota,"AIIMS, Jodhpur , BASNI PHASE - II, JODHPUR-342005, Rajasthan, 342005",MBBS,Open,General,Upgraded,0
2025,R2,MCC,AIQ,345,345,AIR,All India,"Bangalore Medical College and Research Institute , K R ROAD FORT BENGALURU, Karnataka, 560002",MBBS,Open,General,Upgraded,0
2025,R2,MCC,AIQ,378,378,AIR,All India,"GANDHI MEDICAL COLLEGE, BHOPAL , Royal Market Sultania Road Bhopal, Madhya Pradesh, 462001",MBBS,Open,General,Allotted,0
2025,R2,MCC,AIQ,386,386,AIR,Open Seat Quota,"AIIMS, Jodhpur , BASNI PHASE - II, JODHPUR-342005, Rajasthan, 342005",MBBS,Open,General,Upgraded,0
