year,round,authority,counselling_scope,rank_raw,air,rank_type,allotted_quota,college_raw,course,seat_category,candidate_category,status,source_id
2021,R2,MCC,AIQ,1,1,AIR,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,4
2021,R2,MCC,AIQ,2,2,AIR,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,4
2021,R2,MCC,AIQ,3,3,AIR,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,4
2021,R2,MCC,AIQ,4,4,AIR,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,4
2021,R2,MCC,AIQ,5,5,AIR,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,4
2021,R2,MCC,AIQ,6,6,AIR,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,4
2021,R2,MCC,AIQ,7,7,AIR,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,4
2021,R2,MCC,AIQ,8,8,AIR,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,4
2021,R2,MCC,AIQ,9,9,AIR,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,4
2021,R2,MCC,AIQ,10,10,AIR,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,4
2021,R2,MCC,AIQ,11,11,AIR,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,4
2021,R2,MCC,AIQ,12,12,AIR,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,4
2021,R2,MCC,AIQ,13,13,AIR,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,4
2021,R2,MCC,AIQ,14,14,AIR,All India,"SETH G.S. MEDICAL COLLEGE, MUMBAI",MBBS,Reported,-,-,4
2021,R2,MCC,AIQ,15,15,AIR,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,4
2021,R2,MCC,AIQ,16,16,AIR,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,4
2021,R2,MCC,AIQ,17,17,AIR,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,4
2021,R2,MCC,AIQ,18,18,AIR,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,4
2021,R2,MCC,AIQ,19,19,AIR,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,4
2021,R2,MCC,AIQ,20,20,AIR,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,4
2021,R2,MCC,AIQ,21,21,AIR,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,4
2021,R2,MCC,AIQ,22,22,AIR,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,4
2021,R2,MCC,AIQ,23,23,AIR,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,4
2021,R2,MCC,AIQ,24,24,AIR,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,4
2021,R2,MCC,AIQ,25,25,AIR,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,4
2021,R2,MCC,AIQ,26,26,AIR,Open Seat Quota,JIPMER PUDUCHERRY,MBBS,Reported,-,-,4
2021,R2,MCC,AIQ,27,27,AIR,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,4
2021,R2,MCC,AIQ,28,28,AIR,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,4
2021,R2,MCC,AIQ,29,29,AIR,Open Seat Quota,"AIIMS, New Delhi",MBBS,Reported,-,-,4
