year,round,authority,counselling_scope,rank_raw,air,rank_type,allotted_quota,college_raw,course,seat_category,candidate_category,status,source_id
2025,STRAY,MCC,AIQ,4952,4952,AIR,Open Seat Quota,"AIIMS, Patna,Phulwarisharif, Patna, Bihar-801507, Bihar, 801507",MBBS,Open,EWS,Allotted,25
2025,STRAY,MCC,AIQ,6483,6483,AIR,Open Seat Quota,"AIIMS Bilaspur Changar Palasiyan, Himachal Pradesh,All India Institute of Medical Sciences AIIMS Bilaspur Kothipura BILASPUR Himachal Pradesh 174001, Himachal Pradesh, 174001",MBBS,Open,OBC,Allotted,25
2025,STRAY,MCC,AIQ,6537,6537,AIR,Open Seat Quota,"Jawaharlal Nehru Medical College, AMU,ALIGARH,ALIGARH MUSLIM UNIVERSITY, ALIGARH, Uttar Pradesh, 202002",MBBS,Open,General,Allotted,25
2025,STRAY,MCC,AIQ,6748,6748,AIR,Open Seat Quota,"Jawaharlal Nehru Medical College, AMU,ALIGARH,ALIGARH MUSLIM UNIVERSITY, ALIGARH, Uttar Pradesh, 202002",MBBS,Open,General,Allotted,25
2025,STRAY,MCC,AIQ,6803,6803,AIR,Open Seat Quota,"AIIMS, Deogarh ,AIIMS Deoghar Devipur, Jharkhand India, PIN - 814152, Jharkhand, 814152",MBBS,Open,General,Allotted,25
2025,STRAY,MCC,AIQ,7046,7046,AIR,IP University Quota,"ESIC MEDICAL COLLEGE AND HOSPITAL,BASAIDARAPUR,BASAIDARAPUR, NEW DELHI",MBBS,Open,General,Allotted,25
2025,STRAY,MCC,AIQ,7372,7372,AIR,IP University Quota,"ESIC MEDICAL COLLEGE AND HOSPITAL,BASAIDARAPUR,BASAIDARAPUR, NEW DELHI",MBBS,Open,General,Allotted,25
2025,STRAY,MCC,AIQ,7686,7686,AIR,Open Seat Quota,"AIIMS Guwahati,PO-CHANGSARI, DISTRICT-KAMRUP, Assam, 781101",MBBS,Open,General,Allotted,25
2025,STRAY,MCC,AIQ,7712,7712,AIR,Open Seat Quota,"AIIMS Rajkot,Admission cell, Academic section, First floor, Academic block, Permanent Campus, AIIMS Rajkot, Khand, Gujarat, 360110",MBBS,Open,General,Allotted,25
2025,STRAY,MCC,AIQ,7753,7753,AIR,IP University Quota,"ESIC MEDICAL COLLEGE AND HOSPITAL,BASAIDARAPUR,BASAIDARAPUR, NEW DELHI",MBBS,Open,General,Allotted,25
2025,STRAY,MCC,AIQ,8082,8082,AIR,Open Seat Quota,"Jawaharlal Nehru Medical College, AMU,ALIGARH,ALIGARH MUSLIM UNIVERSITY, ALIGARH, Uttar Pradesh, 202002",MBBS,Open,OBC,Allotted,25
2025,STRAY,MCC,AIQ,9475,9475,AIR,Open Seat Quota,"AIIMS, Deogarh ,AIIMS Deoghar Devipur, Jharkhand India, PIN - 814152, Jharkhand, 814152",MBBS,Open,General,Allotted,25
2025,STRAY,MCC,AIQ,9521,9521,AIR,IP University Quota,"ESIC MEDICAL COLLEGE AND HOSPITAL,BASAIDARAPUR,BASAIDARAPUR, NEW DELHI",MBBS,Open,General,Allotted,25
2025,STRAY,MCC,AIQ,10215,10215,AIR,Open Seat Quota,"AIIMS Jammu,AIIMS, Vijaypur, Jammu, Jammu and Kashmir, Jammu And Kashmir, 181134",MBBS,Open,General,Allotted,25
2025,STRAY,MCC,AIQ,10283,10283,AIR,All India,"KURNOOL MEDICAL COLLEGE, KURNOOL,BUDHAWARPET, KURNOOL., Andhra Pradesh, 518002",MBBS,OBC,OBC,Allotted,25
2025,STRAY,MCC,AIQ,10798,10798,AIR,All India,"GRANT MEDICAL COLL & SIR J.J.HOSP,MUMBAI,Sir JJ Group of HospitalCompound, Sir JJ Road, Byculla Mumbai, Maharashtra, 400008",MBBS,Open,General,Allotted,25
2025,STRAY,MCC,AIQ,10896,10896,AIR,All India,"L.L.R.M. MEDICAL COLLEGE, MEERUT,LALA LAJPAT RAI MEMORIAL, MEDICAL COLLEGE, GARH ROAD, MEERUT, Uttar Pradesh, 250004",MBBS,Open,General,Allotted,25
2025,STRAY,MCC,AIQ,11222,11222,AIR,IP University Quota,"ESIC MEDICAL COLLEGE AND HOSPITAL,BASAIDARAPUR,BASAIDARAPUR, NEW DELHI",MBBS,OBC,OBC,Allotted,25
2025,STRAY,MCC,AIQ,11255,11255,AIR,All India,"INDIRA GANDHI MEDICAL COLL., SHIMLA,IGMC SHIMLA NEAR LAKKARBAZAR SHIMLA, Himachal Pradesh, 171001",MBBS,Open,EWS,Allotted,25
2025,STRAY,MCC,AIQ,11273,11273,AIR,All India,"GOVERNMENT MEDICAL COLLEGE AND HOSPITAL, CHANDIGAR,GOVERNMENT MEDICAL COLLEGE AND HOSPITAL, SECTOR 32, CHANDIGARH, Chandigarh, 160030",MBBS,OBC,OBC,Allotted,25
2025,STRAY,MCC,AIQ,11574,11574,AIR,Open Seat Quota,"AIIMS Rajkot,Admission cell, Academic section, First floor, Academic block, Permanent Campus, AIIMS Rajkot, Khand, Gujarat, 360110",MBBS,OBC,OBC,Allotted,25
2025,STRAY,MCC,AIQ,12234,12234,AIR,All India,"B.J. MEDICAL COLLEGE, AHMEDABAD,B.J. Medical College, New Civil Hospital Campus, Asarwa, Ahmedabad 380016, Gujarat, 380016",MBBS,OBC,OBC,Allotted,25
2025,STRAY,MCC,AIQ,12255,12255,AIR,All India,"Govt institute of Medcial Sciences, GREATER NOIDA,GOVERNMENT INSTITUTE OF MEDICAL SCIENCES GREATER NOIDA GAUTAM BUDH NAGAR UTTAR PRADESH, Uttar Pradesh, 201310",MBBS,Open,OBC,Allotted,25
2025,STRAY,MCC,AIQ,12393,12393,AIR,Open Seat Quota,"AIIMS, Deogarh ,AIIMS Deoghar Devipur, Jharkhand India, PIN - 814152, Jharkhand, 814152",MBBS,OBC,OBC,Allotted,25
2025,STRAY,MCC,AIQ,12398,12398,AIR,All India,"PATNA MEDICAL COLLEGE, PATNA,ASHOK RAJPATH, PATNA, Bihar, 800004",MBBS,Open,General,Allotted,25
2025,STRAY,MCC,AIQ,12498,12498,AIR,Open Seat Quota,"AIIMS Guwahati,PO-CHANGSARI, DISTRICT-KAMRUP, Assam, 781101",MBBS,OBC,OBC,Allotted,25
2025,STRAY,MCC,AIQ,12533,12533,AIR,All India,"G.S.V.M. MEDICAL COLLEGE, KANPUR,G.S.V.M Medical College Kanpur Swaroop Nagar Kanpur U.P 208002, Uttar Pradesh, 208002",MBBS,Open,General,Allotted,25
