alias_id,college_id,alias_name,alias_normalized,authority,year,source_id,notes
244,1019,"MG Inst. of Medical Sciences, Sevagram Wardha",mg institute of medical sciences,MCC,,,
245,461,"Government Doon Medcial College, Dehradun",government doon medcial college,MCC,,,
246,744,"GURU GOVIND SINGH MED COLL,FARIDKOT",guru govind singh medical college,MCC,,,
247,1048,"NALANDA MEDICAL COLLEGE, PATNA",nalanda medical college,MCC,,,
248,83,"ATAL BIHARI VAJPAYEE GOVERNMENT MEDICAL COLLEGE, VIDISHA",atal bihari vajpayee government medical college,MCC,,,
249,489,"Govt. Medical College and Hospital, Chandrapur",government medical college and hospital,MCC,,,
250,228,"Darbhanga Medical College, Laheriasarai",darbhanga medical college,MCC,,,
251,1330,"SVIMS - Sri Padmavathi Medical College for Women, Tirupati",svims sri padmavathi medical college for women,MCC,,,
252,1224,Sh. Lal Bahadur Shastri Govt. Med. College. Mandi,sh lal bahadur shastri government medical college mandi,MCC,,,
253,277,"Dr. YS Parmar Govt. Medical College, Nahan",doctor ys parmar government medical college,MCC,,,
254,955,"MAHARANI LAXMI BAI MEDICAL COLL,JHANSI",maharani laxmi bai medical college,MCC,,,
255,1062,"NETAJI SUBHASH CHANDRA BOSE MC,JABALPUR",netaji subhash chandra bose mc,MCC,,,
256,1114,"RAICHUR INST. OF MEDICAL SCI., RAICHUR",raichur institute of medical science,MCC,,,
257,471,"Government Medical College, Bhilwara",government medical college,MCC,,,
258,1376,"Uttar Pradesh University of Medical Sciences, Saifai, Etawah",uttar pradesh university of medical sciences saifai,MCC,,,
259,1080,"PATALIPUTRA MEDICAL COLLEGE, DHANBAD",pataliputra medical college,MCC,,,
260,544,Government Medical College Hamirpur,government medical college hamirpur,MCC,,,
261,275,"DR. VAISHAMPAYAM MEMORIAL M.C.,SHOLAPUR",doctor vaishampayam memorial m c,MCC,,,
262,513,Govt Medical College Barmer Rajasthan,government medical college barmer rajasthan,MCC,,,
263,1189,"Sagar Dutta Medical College & Hospital, Kolkata",sagar dutta medical college and hospital,MCC,,,
264,931,"M.G.M. MEDICAL COLLEGE,JAMSHEDPUR",m g m medical college,MCC,,,
265,1378,"UTTARANCHAL F HOSP TRUST MC,HALDWANI",uttaranchal f hospital trust mc,MCC,,,
266,216,College of Medicine and JNM Hospital,college of medicine and jnm hospital,MCC,,,
267,134,"BANKURA SAMMILANI MED COLL,BANKURA",bankura sammilani medical college,MCC,,,
268,1256,Shri Vinobha Bhave Institute Medical Sciences,shri vinobha bhave institute medical sciences,MCC,,,
269,1239,"SHKM GMC, Nalhar, Mewat, Haryana",shkm gmc nalhar mewat,MCC,,,
270,471,"Government Medical College, Bharatpur",government medical college,MCC,,,
271,471,"GOVERNMENT MEDICAL COLLEGE, MIRAJ",government medical college,MCC,,,
272,139,"BELGAUM INST. OF MEDICAL SCI., BELGAUM",belgaum institute of medical science,MCC,,,
273,419,"GOVT. DENTAL COLLEGE, KOZIKODE",government dental college,MCC,,,
274,334,"ESIC PGIMSR, Joka, Kolkata, WB",esic pgimsr joka kolkata,MCC,,,
275,1026,"MIDNAPORE MEDICAL COLLEGE, MIDNAPUR",midnapore medical college,MCC,,,
276,458,"GOVT. DHARAMAPURI MED COLL,DHARMAPURI",government dharamapuri medical college,MCC,,,
277,167,"BURDWAN MEDICAL COLLEGE,BURDWAN",burdwan medical college,MCC,,,
278,411,"GOVT. D.C. & RESEARCH INST,BANGALORE",government d c and research institute,MCC,,,
279,1071,"NORTH BENGAL MED.COLL,DARJEELING",north bengal medicalcoll,MCC,,,
280,1393,"VIJAYNAGAR INST OF MED. SC,BELLARY",vijaynagar institute of medical sc,MCC,,,
281,471,"Govt. Medical College, Kannauj",government medical college,MCC,,,
282,748,"GVMC, VILLUPURAM",gvmc,MCC,,,
283,1162,"RUHS College of Dental Science, Jaipur",ruhs college of dental science,MCC,,,
284,1187,"S.S. MEDICAL COLLEGE, REWA",s s medical college,MCC,,,
285,720,Govt. Sivgangai M. C. Sivagangai,government sivgangai m c sivagangai,MCC,,,
286,162,"BUNDELKHAND MEDICAL COLLEGE, SAGAR",bundelkhand medical college,MCC,,,
287,1035,"MRA MEDICAL COLLEGE AMBEDKAR NAGAR, UP",mra medical college ambedkar nagar,MCC,,,
288,305,"ESI-PGIMSR, Chennai, TN",esi pgimsr chennai,MCC,,,
289,81,"ASSAM MEDICAL COLLEGE, DIBRUGARH",assam medical college,MCC,,,
290,363,"GHARWALE GOVT.MED SCI &RESEARCH,SRINAGAR",gharwale governmentmed science &research,MCC,,,
291,12,"ACSR Govt Medical College, Nellore",acsr government medical college,MCC,,,
292,78,"ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE, GAYA",anugrah narayan magadh medical college,MCC,,,
293,573,Govt. Medical College Karur,government medical college karur,MCC,,,
294,718,"Govt. Pudukkottai Medical College Hopt., Pudukkott",government pudukkottai medical college hopt,MCC,,,
295,471,"GOVERNMENT MEDICAL COLLEGE, AKOLA",government medical college,MCC,,,
296,471,"Govt Medical College, Churu",government medical college,MCC,,,
297,817,"Jawaharlal Nehru Medical College, Bhagalpur",jawaharlal nehru medical college,MCC,,,
298,1326,"SUH Maulana Mahmood Hasan Medical College, Saharanpur",suh maulana mahmood hasan medical college,MCC,,,
299,737,"GTMC, THIRUVARUR",gtmc,MCC,,,
300,509,Govt Medical College Baramati,government medical college baramati,MCC,,,
301,471,"Government Medical College, Banda",government medical college,MCC,,,
302,516,Govt Medical College Basti,government medical college basti,MCC,,,
303,1287,"SRI KRISHNA MEDICAL COLLEGE, MUZAFFARPUR",sri krishna medical college,MCC,,,
304,673,Govt Medical college Shivpuri,government medical college shivpuri,MCC,,,
305,542,Govt Medical College Firozabad,government medical college firozabad,MCC,,,
306,662,Govt Medical College Ratlam,government medical college ratlam,MCC,,,
307,540,Govt Medical College Faizabad,government medical college faizabad,MCC,,,
308,1236,"SHIMOGA INST. OF MEDICAL SCI., SHIMOGA",shimoga institute of medical science,MCC,,,
309,349,Gadag Institute of Medical Sciences,gadag institute of medical sciences,MCC,,,
310,471,"GOVT MEDICAL COLLEGE, ANANTAPURAMU",government medical college,MCC,,,
311,900,"Kodagu Institute of Medical Sciences, Kodagu",kodagu institute of medical sciences,MCC,,,
312,367,"GMC, Azamgarh, UP",gmc azamgarh,MCC,,,
313,471,"Govt Medical College, Dungarpur",government medical college,MCC,,,
314,366,"GMC, Shahjhanpur",gmc,MCC,,,
315,1246,"SHRI BHAUSAHEB HIRE GOVT. M.C., DHULE",shri bhausaheb hire government m c,MCC,,,
316,471,"GOVERNMENT MEDICAL COLLEGE, LATUR",government medical college,MCC,,,
317,1225,"SH VASANT RAO NAIK GOVT.M.C.,YAVATMAL",sh vasant rao naik governmentm c,MCC,,,
318,1136,"RAJIV GANDHI INSTITUTE OF MEDICAL SCIENCES, KADAPA",rajiv gandhi institute of medical sciences,MCC,,,
319,153,"BIDAR INSTITUTE OF MEDICAL SCI., BIDAR",bidar institute of medical science,MCC,,,
320,739,"Gulbarga Institute of Medical Sciences, Gulbarga",gulbarga institute of medical sciences,MCC,,,
321,242,Diamond Harbour Govt Medical College,diamond harbour government medical college,MCC,,,
322,471,"Government Medical College, Mahabubangar",government medical college,MCC,,,
323,366,"Gmc, Bahraich",gmc,MCC,,,
324,361,"GDC,PT.BDS UNIV.OF HEALTH SCI,ROHTAK",gdc pt bds universityof health science,MCC,,,
325,1046,"NAIR HOSP DENTAL COLLEGE & HOSP,MUMBAI",nair hospital dental college and hospital,MCC,,,
326,1158,"RIMS, Ongole",rims,MCC,,,
327,1141,"Rajkiya Medical College, Jalaun",rajkiya medical college,MCC,,,
328,951,Maharaja Jitendra Narayan Medical College and Hospital Coochbehar,maharaja jitendra narayan medical college and hospital coochbehar,MCC,,,
329,830,"JIPMER, KARAIKAL, INTERNAL",jipmer karaikal,MCC,,,
330,397,"Goverment Medical College, Datia",goverment medical college,MCC,,,
331,835,"JLN IMS, IMPHAL",jln ims,MCC,,,
332,1335,"SWAMI RAMANAND TiRTH RURAL M.C,AMBAJOGAI",swami ramanand tirth rural m c,MCC,,,
333,1176,"S.C.B. MEDICAL COLL(DENTAL),CUTTACK",s c b medical college dental,MCC,,,
334,924,"Lt. B R K Government Medical College, Jagdalpur",lt b r k government medical college,MCC,,,
335,796,"IRT Perundurai Medical College, Perundurai",irt perundurai medical college,MCC,,,
336,886,"Karwar Institute of Medical Sciences, Karwar",karwar institute of medical sciences,MCC,,,
337,468,"Government Medcial College, Ambikapur",government medcial college,MCC,,,
338,1264,"SILCHAR MEDICAL COLLEGE, SILCHER",silchar medical college,MCC,,,
339,927,"Lt. L A M Govt. Medical College, Raigarh",lt l a m government medical college,MCC,,,
340,1346,"Tezpur Medical College, Tezpur",tezpur medical college,MCC,,,
341,688,Government Medical College Suryapet,government medical college suryapet,MCC,,,
342,397,"Goverment Medical College, Bettiah",goverment medical college,MCC,,,
343,196,Chhindwara Institute of Medical Sciences,chhindwara institute of medical sciences,MCC,,,
344,1134,Rajiv Gandhi Institute Medical Sce of Adilabad,rajiv gandhi institute medical sce of adilabad,MCC,,,
345,468,"Government Medcial College, Gondia",government medcial college,MCC,,,
346,1160,RIMS Srikakulam,rims srikakulam,MCC,,,
347,19,"AGARTALA GOVT. MEDICAL COLLEGE,AGARTALA",agartala government medical college,MCC,,,
348,471,"Govt. Medical College, Khandwa",government medical college,MCC,,,
349,904,Koppal Institute of Medical Sciences,koppal institute of medical sciences,MCC,,,
350,74,Andaman and Nicobar Islands Institute of Medical S,andaman and nicobar islands institute of medical s,MCC,,,
351,577,Government Medical College Khaleelwadi,government medical college khaleelwadi,MCC,,,
352,1104,"Pt. Raghunath Murmu Med. College, Baripada",pt raghunath murmu medical college,MCC,,,
353,471,"Government Medical College, Rajnandgaon",government medical college,MCC,,,
354,716,"Government of Medical College and Hospital, Balasore",government of medical college and hospital,MCC,,,
355,408,"GOVT. COLLEGE OF DENTISTRY, INDORE",government college of dentistry,MCC,,,
356,1191,"Saheed Laxman Nayak Med. College and Hos., Koraput",saheed laxman nayak medical college and hos,MCC,,,
357,977,"MALDA MED. COLLEGE, MALDA",malda medical college,MCC,,,
358,489,"Government Medical College and Hospital, Balangir",government medical college and hospital,MCC,,,
359,671,Govt Medical College Shahdol,government medical college shahdol,MCC,,,
360,420,"GOVT. DENTAL COLL.& HOSP., JAMNAGAR",government dental college & hospital,MCC,,,
361,398,Goverment Medical College And Hospital Jalgaon,goverment medical college and hospital jalgaon,MCC,,,
362,620,Govt Medical College Nalgonda,government medical college nalgonda,MCC,,,
363,1085,"PB. GOVT. DENTAL COLLEGE & HOSP,AMRITSAR",pb government dental college and hospital,MCC,,,
364,839,"Jorhat Medical College and Hospital, JORHAT",jorhat medical college and hospital,MCC,,,
365,1118,Raiganj Government Medical College,raiganj government medical college,MCC,,,
366,267,"DR. R. AHMED DENT.COLL & HOSP,KOLKATA",doctor r ahmed dent college and hospital,MCC,,,
367,1037,"Mursidabad M C & Hospital, Mursidabad",mursidabad m c and hospital,MCC,,,
368,1342,"TAMILNADU GOVT D.C. & HOSP, CHENNAI",tamilnadu government d c and hospital,MCC,,,
369,1107,Purulia Government Medical College and Hospital,purulia government medical college and hospital,MCC,,,
370,164,"Burdwan Dental College & Hospital, Burdwan",burdwan dental college and hospital,MCC,,,
