year,college_code,college_name,discipline,course,seat_type,fee_per_annum
2021,M036,"SDM College of Medical Sciences and Hospital,Dharwad",MEDICAL,MBBS,GOVT,144246
2021,M036,"SDM College of Medical Sciences and Hospital,Dharwad",MEDICAL,MBBS,PRIV,1745200
2021,M036,"SDM College of Medical Sciences and Hospital,Dharwad",MEDICAL,MBBS,NRI,3240500
2021,M036,"SDM College of Medical Sciences and Hospital,Dharwad",MEDICAL,MBBS,OTHERS,3240500
2021,M037,"Belgaum Institute of Medical Sciences,Belgaum",MEDICAL,MBBS,GOVT,59850
2021,M041,"Vijayanagar Institute of Medical Sciences,Bellary",MEDICAL,MBBS,GOVT,59850
2021,M042,"Mahadevappa Rampure Medical College,Kalaburgi",MEDICAL,MBBS,GOVT,141196
2021,M042,"Mahadevappa Rampure Medical College,Kalaburgi",MEDICAL,MBBS,PRIV,994406
2021,M042,"Mahadevappa Rampure Medical College,Kalaburgi",MEDICAL,MBBS,NRI,4022950
2021,M042,"Mahadevappa Rampure Medical College,Kalaburgi",MEDICAL,MBBS,OTHERS,4022950
2021,M043,"Navodaya Medical College,Raichur",MEDICAL,MBBS,GOVT,141196
2021,M043,"Navodaya Medical College,Raichur",MEDICAL,MBBS,PRIV,994406
2021,M043,"Navodaya Medical College,Raichur",MEDICAL,MBBS,NRI,3012450
2021,M043,"Navodaya Medical College,Raichur",MEDICAL,MBBS,OTHERS,3012450
2021,M044,"Bidar Institute of Medical Sciences,Bidar",MEDICAL,MBBS,GOVT,59850
2021,M045,"Raichur Institute of Medical Sciences,Raichur",MEDICAL,MBBS,GOVT,59850
2021,M050,"Father Muller Institute of Med. Education & Research,Mangalore",MEDICAL,MBBS,GOVT,141196
2021,M050,"Father Muller Institute of Med. Education & Research,Mangalore",MEDICAL,MBBS,PRIV,994406
2021,M050,"Father Muller Institute of Med. Education & Research,Mangalore",MEDICAL,MBBS,NRI,3512450
2021,M050,"Father Muller Institute of Med. Education & Research,Mangalore",MEDICAL,MBBS,OTHERS,3512450
2021,M051,"Kasturba Medical College,Hampanakatta,Mangalore.",MEDICAL,MBBS,GOVT,144246
2021,M052,"Yenepoya Medical College,Mangalore",MEDICAL,MBBS,GOVT,204246
2021,M053,"K.S.Hegde Medical Academy,Mangalore",MEDICAL,MBBS,GOVT,144246
2021,M054,"K.Venkataramana Gowda Medical College and Hospital,Dakshina Kannada",MEDICAL,MBBS,GOVT,141196
2021,M054,"K.Venkataramana Gowda Medical College and Hospital,Dakshina Kannada",MEDICAL,MBBS,PRIV,994406
2021,M054,"K.Venkataramana Gowda Medical College and Hospital,Dakshina Kannada",MEDICAL,MBBS,NRI,2512450
2021,M054,"K.Venkataramana Gowda Medical College and Hospital,Dakshina Kannada",MEDICAL,MBBS,OTHERS,2512450
2021,M061,"Jaya Jagadguru Murugharajendra Medical College,Davangere District",MEDICAL,MBBS,GOVT,141196
2021,M061,"Jaya Jagadguru Murugharajendra Medical College,Davangere District",MEDICAL,MBBS,PRIV,994406
2021,M061,"Jaya Jagadguru Murugharajendra Medical College,Davangere District",MEDICAL,MBBS,NRI,4512450
2021,M061,"Jaya Jagadguru Murugharajendra Medical College,Davangere District",MEDICAL,MBBS,OTHERS,4512450
2021,M062,"Shymanuru Shivashankarappa Institute Of Medical Sciences,Davangere",MEDICAL,MBBS,GOVT,141196
2021,M062,"Shymanuru Shivashankarappa Institute Of Medical Sciences,Davangere",MEDICAL,MBBS,PRIV,994406
2021,M062,"Shymanuru Shivashankarappa Institute Of Medical Sciences,Davangere",MEDICAL,MBBS,NRI,4512450
2021,M062,"Shymanuru Shivashankarappa Institute Of Medical Sciences,Davangere",MEDICAL,MBBS,OTHERS,4512450
2021,M063,"Shimoga Institute of Medical Sciences,Shimoga",MEDICAL,MBBS,GOVT,59850
2021,M064,"Sapthagiri Institute of Medical Sciences,Bangalore",MEDICAL,MBBS,GOVT,141196
2021,M064,"Sapthagiri Institute of Medical Sciences,Bangalore",MEDICAL,MBBS,PRIV,994406
2021,M064,"Sapthagiri Institute of Medical Sciences,Bangalore",MEDICAL,MBBS,NRI,6012450
2021,M064,"Sapthagiri Institute of Medical Sciences,Bangalore",MEDICAL,MBBS,OTHERS,6012450
2021,M065,"Srinivasa Institute of Medical Research Center,Mangalore",MEDICAL,MBBS,GOVT,141196
