neet_roll_no,neet_score,neet_ai_rank,category,hk,rural,clause,karnataka
2705001756,320,310167,Category-2B,Yes,Yes,Clause-a,Yes
2705123075,320,310197,Category-2B,Yes,No,Clause-a,Yes
2707008031,320,310240,General Merit,No,No,Clause-a,Yes
2703008353,320,310298,Category-1,No,No,Clause-a,Yes
2701006283,320,310332,Category-3B,No,Yes,Clause-a,Yes
2706013166,320,310335,Category-2A,No,Yes,Clause-a,Yes
2705003075,320,310336,Category-2A,Yes,No,Clause-a,Yes
2705021001,320,310358,Category-2B,Yes,No,Clause-a,Yes
2705110041,320,310401,Category-2A,No,No,Clause-a,Yes
2702022246,320,310432,Category-3B,No,No,Clause-a,Yes
2707010277,320,310533,Category-2A,No,No,Clause-a,Yes
2703017287,320,310536,General Merit,No,No,Clause-a,Yes
2702105209,320,310572,Category-2B,No,No,Clause-a,Yes
2702112203,320,310579,Sc,No,No,Clause-a,Yes
2706018169,320,310588,General Merit,No,No,Clause-a,Yes
2705021006,320,310690,Category-2A,Yes,No,Clause-a,Yes
2703005562,320,310720,Category-3A,No,Yes,Clause-a,Yes
2702011050,320,310729,General Merit,No,No,Clause-a,Yes
2705024143,320,310748,Category-3B,Yes,No,Clause-a,Yes
2702108430,320,310764,Category-2A,No,No,Clause-a,Yes
2709005084,320,310784,Category-1,No,No,Clause-a,Yes
2708026054,320,310839,Category-2A,No,No,Clause-a,Yes
2702117363,320,310921,General Merit,No,No,Clause-a,Yes
2702011346,320,310966,Category-2B,No,No,Clause-b,Yes
2702105073,320,310989,General Merit,No,No,Clause-a,Yes
2704011099,320,311014,Category-2A,No,No,Clause-a,Yes
2706016194,320,311079,Category-3A,No,Yes,Clause-a,Yes
2702009100,320,311082,General Merit,No,No,Clause-a,Yes
2701014055,320,311087,Category-2B,No,No,Clause-a,Yes
2702006018,320,311131,General Merit,No,No,Clause-a,Yes
2703028165,320,311152,Category-3B,No,No,Clause-a,Yes
2701001172,319,311345,Category-3B,No,No,Clause-a,Yes
2705003045,319,311390,Category-3A,Yes,No,Clause-a,Yes
2701007276,319,311451,Category-2B,No,No,Clause-a,Yes
2702102421,319,4819,,No,No,Clause-a,Yes
2703028066,319,311483,General Merit,No,No,Clause-a,Yes
2705107428,319,311502,Sc,Yes,No,Clause-a,Yes
2702104003,319,311601,Sc,Yes,Yes,Clause-a,Yes
2701012174,319,311602,General Merit,No,No,Clause-a,Yes
2705106311,319,311639,Category-2A,Yes,No,Clause-a,Yes
2705014158,319,311640,Category-1,Yes,No,Clause-a,Yes
2705102171,319,311645,Category-3A,Yes,Yes,Clause-a,Yes
2705023076,319,311675,Category-2B,Yes,No,Clause-a,Yes
2706005479,319,311719,General Merit,No,No,Clause-a,Yes
2707006170,319,311733,Sc,No,No,Clause-a,Yes
2709006191,319,311795,Category-2A,No,No,Clause-o,Yes
2701001107,319,311799,Category-3B,No,No,Clause-a,Yes
2707002364,319,311804,Category-2B,No,Yes,Clause-a,Yes
2705106283,319,311814,Category-1,Yes,No,Clause-a,Yes
2705001561,319,311831,Sc,Yes,Yes,Clause-a,Yes
2703007283,319,311919,Category-2B,No,No,Clause-a,Yes
2705007177,319,311964,Sc,Yes,No,Clause-a,Yes
2709001106,319,311983,Category-1,No,Yes,Clause-a,Yes
2703008193,319,312065,Category-2A,No,No,Clause-a,Yes
2702120028,319,312072,Category-3A,No,No,Clause-a,Yes
2702023315,319,312074,General Merit,No,No,Clause-a,Yes
2703028044,319,312082,General Merit,Yes,No,Clause-a,Yes
2702003298,319,312094,General Merit,Yes,No,Clause-a,Yes
2703026164,319,312097,Sc,Yes,No,Clause-a,Yes
2708023048,319,312109,Sc,No,No,Clause-a,Yes
2701019122,319,312173,Category-3B,No,Yes,Clause-a,Yes
2703012100,319,312190,Category-3B,Yes,No,Clause-a,Yes
2707001067,319,312255,Category-2B,No,Yes,Clause-a,Yes
2702101909,319,312287,Category-3A,No,No,Clause-a,Yes
2702009524,319,312350,Category-2A,Yes,Yes,Clause-a,Yes
2702003896,319,312360,Category-3A,No,No,Clause-a,Yes
2702114325,319,312406,Category-3A,No,Yes,Clause-a,Yes
2702110372,319,312455,Sc,No,No,Clause-a,Yes
2701009166,319,312565,General Merit,No,No,Clause-a,Yes
2709001087,319,312599,General Merit,No,No,Clause-a,Yes
2708003247,319,312615,General Merit,No,No,Clause-a,Yes
2702105917,319,312619,Category-2A,No,Yes,Clause-a,Yes
2705016010,319,312745,Category-2B,Yes,No,Clause-a,Yes
2702110196,319,312766,General Merit,No,No,Clause-a,Yes
2702116065,319,312790,General Merit,No,No,Clause-a,Yes
2702004675,319,312823,Category-2A,No,No,Clause-a,Yes
2703029064,319,312879,Category-2A,No,No,Clause-a,Yes
2702004507,319,312931,Category-3A,No,No,Clause-a,Yes
2709002419,319,313006,Category-1,No,Yes,Clause-a,Yes
2702018161,318,313118,Category-3A,No,No,Clause-a,Yes
2702128168,318,313132,General Merit,No,No,Clause-a,Yes
2703022027,318,313216,Category-3B,Yes,No,Clause-a,Yes
2709005143,318,313225,General Merit,No,No,Clause-a,Yes
2708020060,318,313254,Category-2B,No,No,Clause-a,Yes
2706024476,318,313256,Category-3B,No,No,Clause-a,Yes
2702034018,318,313283,Category-3A,No,No,Clause-a,Yes
2705002021,318,313364,Category-2B,Yes,No,Clause-a,Yes
2705122174,318,313367,Sc,Yes,Yes,Clause-a,Yes
2702126123,318,313407,Category-2A,No,No,Clause-a,Yes
2706013249,318,313437,General Merit,No,No,Clause-a,Yes
2705104492,318,313482,Category-2B,Yes,No,Clause-a,Yes
2705102396,318,313535,General Merit,Yes,No,Clause-a,Yes
2703017307,318,313536,Sc,No,No,Clause-a,Yes
2705101179,318,313584,Sc,Yes,Yes,Clause-a,Yes
2702106627,318,313591,Sc,Yes,No,Clause-a,Yes
2702117405,318,313630,Category-2A,No,Yes,Clause-a,Yes
2705025005,318,313631,Category-2A,Yes,No,Clause-a,Yes
2702115337,318,313698,Sc,No,No,Clause-a,Yes
2703030462,318,313713,Category-2A,No,No,Clause-a,Yes
2705108334,318,313749,Category-2A,Yes,No,Clause-a,Yes
2702031019,318,313752,Category-3B,No,No,Clause-a,Yes
2706001784,318,313762,Category-2B,No,No,Clause-a,Yes
2702113157,318,313773,Category-3B,Yes,No,Clause-b,Yes
2705120010,318,313871,Category-3B,Yes,No,Clause-a,Yes
