neet_score,neet_ai_rank
703,55
700,85
697,113
695,148
691,224
691,235
686,365
686,375
685,399
685,440
683,491
681,537
681,541
681,551
681,583
680,666
676,816
676,861
675,892
675,900
675,906
675,911
675,934
675,979
675,993
673,1033
672,1060
671,1094
671,1138
670,1219
670,1225
670,1233
670,1365
668,1399
666,1519
666,1538
666,1545
666,1566
665,1668
665,1735
665,1749
665,1753
665,1770
663,1884
663,1906
662,1926
662,1942
661,2020
661,2040
661,2075
661,2111
661,2129
661,2130
661,2176
660,2243
660,2309
660,2351
660,2355
660,2390
659,2464
658,2527
657,2570
656,2709
656,2717
656,2738
656,2791
656,2852
656,2864
655,2893
655,2943
655,2950
655,2987
655,3001
655,3037
655,3064
655,3082
654,3160
654,3216
653,3218
653,3320
653,3330
652,3371
652,3394
652,3410
652,3437
652,3450
651,3508
651,3532
651,3539
651,3606
651,3697
650,3744
650,3789
650,3846
650,3854
650,3865
650,3899
650,3924
650,3946
650,4004
649,4041
649,4107
648,4154
648,4264
647,4348
647,4423
647,4431
646,4488
646,4496
646,4504
646,4530
646,4590
646,4634
646,4650
646,4662
646,4693
645,4709
645,4734
645,4742
645,4743
645,4771
645,4775
645,4807
645,4815
645,4860
645,4869
645,4888
645,4948
645,4987
644,5052
643,5171
643,5188
643,5224
643,5256
643,5262
643,5305
642,5379
642,5430
642,5446
642,5474
642,5496
641,5565
641,5572
641,5600
641,5660
641,5684
641,5689
641,5762
640,5848
640,5877
640,5892
640,5922
640,5943
640,5944
640,5962
640,5990
640,6013
640,6050
640,6091
639,6148
639,6150
639,6166
639,6201
639,6204
639,6208
639,6246
638,6306
638,6327
638,6328
638,6423
637,6475
637,6495
637,6544
637,6547
637,6596
637,6663
637,6674
636,6764
636,6765
636,6825
636,6826
636,6895
636,6915
636,6934
636,6966
636,6987
635,7011
635,7036
635,7069
635,7097
635,7168
635,7256
635,7260
635,7284
635,7332
634,7351
634,7426
634,7466
634,7504
633,7534
633,7618
633,7641
633,7658
633,7663
632,7779
632,7786
632,7847
632,7879
632,7951
632,7952
632,8026
631,8056
631,8072
631,8093
631,8119
631,8139
631,8179
631,8241
631,8324
630,8361
630,8371
630,8417
630,8428
630,8436
630,8511
630,8571
629,8787
629,8814
629,8824
629,8863
629,8869
629,8911
629,8925
629,8957
628,9012
628,9031
628,9045
628,9093
628,9097
628,9164
628,9184
628,9227
627,9271
627,9298
627,9326
627,9340
627,9352
627,9353
627,9433
627,9445
627,9465
627,9496
627,9512
627,9516
627,9535
626,9556
626,9644
626,9733
626,9753
626,9795
626,9801
626,9861
626,9874
626,9896
625,9920
625,9922
625,9925
625,9937
625,9938
625,9991
625,10025
625,10048
625,10082
625,10083
625,10108
625,10150
625,10213
625,10230
625,10309
624,10460
624,10466
624,10475
624,10512
623,10537
623,10628
623,10656
623,10798
623,10800
622,10817
622,10848
622,10849
622,10880
622,11060
622,11063
622,11108
622,11134
622,11144
622,11158
621,11203
621,11233
621,11276
621,11398
621,11449
621,11466
621,11485
620,11555
620,11575
620,11648
620,11706
620,11740
620,11924
620,11927
619,11965
619,12022
619,12126
619,12192
619,12203
619,12224
619,12226
619,12231
619,12241
619,12244
618,12308
617,12606
617,12691
617,12692
617,12765
617,12812
617,12870
617,12925
616,12970
616,13053
616,13069
616,13074
616,13079
616,13087
616,13160
616,13203
616,13251
616,13274
616,13275
616,13281
616,13311
616,13323
615,13355
615,13414
615,13529
615,13659
615,13682
615,13708
615,13729
615,13737
615,13739
615,13748
614,13791
614,13881
614,13920
614,13962
614,13977
614,14028
614,14031
614,14081
614,14088
614,14093
613,14178
613,14197
613,14355
613,14422
613,14433
613,14446
613,14448
612,14535
612,14540
612,14547
612,14577
612,14711
612,14753
612,14773
612,14781
612,14798
612,14802
612,14821
612,14869
611,14942
611,14951
611,14956
611,14978
611,14986
611,15000
611,15033
611,15051
611,15056
611,15090
611,15096
611,15114
611,15147
611,15153
611,15253
610,15331
610,15344
610,15356
610,15374
610,15383
610,15407
610,15499
610,15532
610,15546
610,15628
610,15639
610,15710
610,15713
609,15730
609,15772
609,15804
609,15811
609,15834
609,15863
609,15907
609,15924
609,15938
609,15950
609,15983
609,16004
609,16008
609,16049
608,16104
608,16105
608,16136
608,16209
608,16307
608,16338
608,16356
608,16443
608,16463
608,16484
607,16494
607,16563
607,16621
607,16634
607,16679
607,16696
607,16701
607,16711
607,16814
607,16863
607,16879
607,16883
606,16906
606,16937
606,16939
606,17006
606,17116
606,17118
606,17140
606,17174
606,17184
606,17234
606,17246
606,17260
606,17286
605,17368
605,17415
605,17443
605,17450
605,17488
605,17503
605,17542
605,17611
605,17664
605,17668
605,17711
605,17719
605,17729
605,17757
605,17776
605,17808
605,17822
605,17841
605,17842
605,17846
605,17873
604,17894
604,17895
604,17899
604,17906
604,17944
604,17975
604,18021
604,18046
604,18085
604,18088
604,18107
604,18166
604,18189
604,18192
604,18209
604,18223
604,18278
603,18368
603,18410
603,18425
603,18446
603,18449
603,18475
603,18490
603,18505
603,18579
603,18630
603,18672
603,18682
602,18689
602,18699
602,18736
602,18832
602,18840
602,18890
602,18893
602,18920
602,19028
602,19065
602,19074
602,19104
602,19174
601,19209
601,19296
601,19305
601,19333
601,19460
601,19545
601,19623
601,19638
600,19655
600,19685
600,19691
600,19697
600,19785
600,19929
600,19934
600,19942
600,19978
