year,round,authority,counselling_scope,rank_raw,air,rank_type,allotted_quota,college_raw,course,seat_category,candidate_category,fee,status,source_id
2023,STRAY,KEA,STATE_KA,720835,720835,AIR,,"Al-Ameen Medical College,ADMINISTRATIVE BLOCK,Athani Road,VIJAYAPUR",MBBS,OTH,,3012700,Allotted,30
2023,STRAY,KEA,STATE_KA,722117,722117,AIR,,"Father Muller Institute of Med. Education & Research,Father Muller Road,Kankanady,Mangalore",MBBS,OTH,,3512700,Allotted,30
2023,STRAY,KEA,STATE_KA,723382,723382,AIR,,"Adichunchanagiri Institute of Medical Sciences,B.G Nagar,Nagamangal Tq,Bellur, Mandya Dist.",MBBS,OTH,,3215750,Allotted,30
2023,STRAY,KEA,STATE_KA,723544,723544,AIR,,"A.J.Institute of Medical Sciences,NH - 66, Kuntikana,Mangalore",MBBS,OTH,,4012700,Allotted,30
2023,STRAY,KEA,STATE_KA,724277,724277,AIR,,"Al-Ameen Medical College,ADMINISTRATIVE BLOCK,Athani Road,VIJAYAPUR",MBBS,OTH,,3012700,Allotted,30
2023,STRAY,KEA,STATE_KA,730397,730397,AIR,,"The Oxford Medical College Hospital and Research Center,Yadavanahalli, Attibele Hobli,Anekal Taluk,Bangalore",MBBS,OTH,,3012700,Allotted,30
2023,STRAY,KEA,STATE_KA,732088,732088,AIR,,"M.V.J.Medical College and Research Hospital,NH-4, Dandupalya, Kolathur -,Post, Hoskote,Channasandra, Bangalore",MBBS,OTH,,3612700,Allotted,30
2023,STRAY,KEA,STATE_KA,738071,738071,AIR,,"Sri Basaveshwara Medical College and Hospital,NH-4, S.J.M.I.T Campus,Chitradurga",MBBS,OTH,,2812700,Allotted,30
2023,STRAY,KEA,STATE_KA,744206,744206,AIR,,"Vydehi Institute of Medical Science and Research Centre,No. 82,EPIP Area, Nallurahalli,Mahadevpura, White Field Road,Bangalore",MBBS,NRI,,4012700,Allotted,30
2023,STRAY,KEA,STATE_KA,758006,758006,AIR,,"The Oxford Medical College Hospital and Research Center,Yadavanahalli, Attibele Hobli,Anekal Taluk,Bangalore",MBBS,OTH,,3012700,Allotted,30
2023,STRAY,KEA,STATE_KA,758829,758829,AIR,,"Shymanuru Shivashankarappa Institute Of Medical Sciences,Jnanashankara, NH-4,Bypass Road,Davangere",MBBS,OTH,,3912700,Allotted,30
2023,STRAY,KEA,STATE_KA,766897,766897,AIR,,"Adichunchanagiri Institute of Medical Sciences,B.G Nagar,Nagamangal Tq,Bellur, Mandya Dist.",MBBS,OTH,,3215750,Allotted,30
2023,STRAY,KEA,STATE_KA,771422,771422,AIR,,"Sri Basaveshwara Medical College and Hospital,NH-4, S.J.M.I.T Campus,Chitradurga",MBBS,OTH,,2812700,Allotted,30
2023,STRAY,KEA,STATE_KA,780662,780662,AIR,,"Sapthagiri Institute of Medical Sciences,No.15, chikkasandra,Hesaraghatta main,Bangalore",MBBS,OTH,,4012700,Allotted,30
2023,STRAY,KEA,STATE_KA,783639,783639,AIR,,"M.V.J.Medical College and Research Hospital,NH-4, Dandupalya, Kolathur -,Post, Hoskote,Channasandra, Bangalore",MBBS,OTH,,3612700,Allotted,30
2023,STRAY,KEA,STATE_KA,790466,790466,AIR,,"Mahadevappa Rampure Medical College,Mahadevappa Rampure Marg,Sedam Road,Kalaburgi",MBBS,OTH,,3512700,Allotted,30
2023,STRAY,KEA,STATE_KA,810671,810671,AIR,,"M.V.J.Medical College and Research Hospital,NH-4, Dandupalya, Kolathur -,Post, Hoskote,Channasandra, Bangalore",MBBS,OTH,,3612700,Allotted,30
2023,STRAY,KEA,STATE_KA,826677,826677,AIR,,"M.V.J.Medical College and Research Hospital,NH-4, Dandupalya, Kolathur -,Post, Hoskote,Channasandra, Bangalore",MBBS,OTH,,3612700,Allotted,30
2023,STRAY,KEA,STATE_KA,841027,841027,AIR,,"M.V.J.Medical College and Research Hospital,NH-4, Dandupalya, Kolathur -,Post, Hoskote,Channasandra, Bangalore",MBBS,OTH,,3612700,Allotted,30
2023,STRAY,KEA,STATE_KA,871442,871442,AIR,,"Jaya Jagadguru Murugharajendra Medical College,Davangere,Davangere District",MBBS,OTH,,4512700,Allotted,30
2023,STRAY,KEA,STATE_KA,898171,898171,AIR,,"Mahadevappa Rampure Medical College,Mahadevappa Rampure Marg,Sedam Road,Kalaburgi",MBBS,OTH,,3512700,Allotted,30
