year,round,authority,counselling_scope,rank_raw,air,rank_type,allotted_quota,college_raw,course,seat_category,candidate_category,fee,status,source_id
2023,R2,KEA,STATE_KA,43468,43468,AIR,,"Koppal Institute of Medical Sciences,GANGAVATI ROAD, KIDDIDAL GATE,OPP DC OFFICE,KOPPAL",MBBS,GM,,60100,Allotted,29
2023,R2,KEA,STATE_KA,43478,43478,AIR,,"Dr. Chandramma Dayananda Sagar Institute of Medical Education,Harohalli hobli, Kanakapura Rd",MBBS,GM,,144496,Allotted,29
2023,R2,KEA,STATE_KA,43483,43483,AIR,,"Kodagu Institute of Medical Sciences,MADIKERI",MBBS,GM,,60100,Allotted,29
2023,R2,KEA,STATE_KA,43503,43503,AIR,,"BGS Global Institute of Medical Sciences,# 67, BGS Health & Education,City, Uttarahalli Main Road,Kengeri, Bangalore",MBBS,3AG,,141446,Allotted,29
2023,R2,KEA,STATE_KA,43517,43517,AIR,,"Gulbarga Institute of Medical Sciences,VIRESHNAGAR SEDAM ROAD,GULBARGA",MBBS,1G,,60100,Allotted,29
2023,R2,KEA,STATE_KA,43518,43518,AIR,,"Bidar Institute of Medical Sciences,Udgir Road,Bidar",MBBS,GMH,,60100,Allotted,29
2023,R2,KEA,STATE_KA,43524,43524,AIR,,"Chamarajanagar Institute of Medical Science,SURVEY NO 124, YADAPURA,VILLEGE, KASABA HOBLI,CHAMARAJANAGAR",MBBS,2AG,,60100,Allotted,29
2023,R2,KEA,STATE_KA,43553,43553,AIR,,"Koppal Institute of Medical Sciences,GANGAVATI ROAD, KIDDIDAL GATE,OPP DC OFFICE,KOPPAL",MBBS,GM,,60100,Allotted,29
2023,R2,KEA,STATE_KA,43555,43555,AIR,,"Mandya Institute of Medical Sciences,District Hospital,Mandya",MBBS,1R,,60100,Allotted,29
2023,R2,KEA,STATE_KA,43574,43574,AIR,,"Chamarajanagar Institute of Medical Science,SURVEY NO 124, YADAPURA,VILLEGE, KASABA HOBLI,CHAMARAJANAGAR",MBBS,GMR,,60100,Allotted,29
2023,R2,KEA,STATE_KA,43581,43581,AIR,,"Chikkaballapura Institute of Medical Science,Chikkaballapura",MBBS,GM,,60100,Allotted,29
2023,R2,KEA,STATE_KA,43597,43597,AIR,,"Karwar Institute of Medical Science,M G ROAD,KARWAR,UTTARA KANNADA",MBBS,GM,,60100,Allotted,29
2023,R2,KEA,STATE_KA,43607,43607,AIR,,"Gadag Institute of Medical Sciences,MULGUND ROAD,MALLASAMUDRA,GADAG",MBBS,GMR,,60100,Allotted,29
2023,R2,KEA,STATE_KA,43642,43642,AIR,,"Shymanuru Shivashankarappa Institute Of Medical Sciences,Jnanashankara, NH-4,Bypass Road,Davangere",MBBS,OPN,,1092852,Allotted,29
2023,R2,KEA,STATE_KA,43654,43654,AIR,,"Kodagu Institute of Medical Sciences,MADIKERI",MBBS,GM,,60100,Allotted,29
2023,R2,KEA,STATE_KA,43657,43657,AIR,,"Koppal Institute of Medical Sciences,GANGAVATI ROAD, KIDDIDAL GATE,OPP DC OFFICE,KOPPAL",MBBS,GM,,60100,Allotted,29
2023,R2,KEA,STATE_KA,43677,43677,AIR,,"Koppal Institute of Medical Sciences,GANGAVATI ROAD, KIDDIDAL GATE,OPP DC OFFICE,KOPPAL",MBBS,GM,,60100,Allotted,29
2023,R2,KEA,STATE_KA,43694,43694,AIR,,"Akash Institute of Medical Sciences and Research Centre,DEVANAHALLI,NEAR BANGALORE INTERNATIONAL,BANGALORE",MBBS,OPN,,1092852,Allotted,29
2023,R2,KEA,STATE_KA,43696,43696,AIR,,"Kodagu Institute of Medical Sciences,MADIKERI",MBBS,GM,,60100,Allotted,29
2023,R2,KEA,STATE_KA,43701,43701,AIR,,"Akash Institute of Medical Sciences and Research Centre,DEVANAHALLI,NEAR BANGALORE INTERNATIONAL,BANGALORE",MBBS,OPN,,1092852,Allotted,29
2023,R2,KEA,STATE_KA,43710,43710,AIR,,"Kodagu Institute of Medical Sciences,MADIKERI",MBBS,GM,,60100,Allotted,29
2023,R2,KEA,STATE_KA,43728,43728,AIR,,"Raichur Institute of Medical Sciences,Sy No.307 & 308, Hyderabad - Road,Raichur",MBBS,GMH,,60100,Allotted,29
2023,R2,KEA,STATE_KA,43741,43741,AIR,,"K.S.Hegde Medical Academy,Nithyananda Nagar,Deralakatte,Mangalore",MBBS,GM,,144496,Allotted,29
2023,R2,KEA,STATE_KA,43749,43749,AIR,,"Gulbarga Institute of Medical Sciences,VIRESHNAGAR SEDAM ROAD,GULBARGA",MBBS,3BH,,60100,Allotted,29
2023,R2,KEA,STATE_KA,43760,43760,AIR,,"A.J.Institute of Medical Sciences,NH - 66, Kuntikana,Mangalore",MBBS,OPN,,1092852,Allotted,29
2023,R2,KEA,STATE_KA,43789,43789,AIR,,"M.S.Ramaiah Medical College,MSR Nagar, MSRIT Post,Mathikere,Bangalore",MBBS,OPN,,2215750,Allotted,29
2023,R2,KEA,STATE_KA,43796,43796,AIR,,"Karnataka Institute of Medical Sciences,Vidyanagar,Hubli",MBBS,STG,,60100,Allotted,29
2023,R2,KEA,STATE_KA,43803,43803,AIR,,"Adichunchanagiri Institute of Medical Sciences,B.G Nagar,Nagamangal Tq,Bellur, Mandya Dist.",MBBS,GM,,144496,Allotted,29
2023,R2,KEA,STATE_KA,43824,43824,AIR,,"Karwar Institute of Medical Science,M G ROAD,KARWAR,UTTARA KANNADA",MBBS,GM,,60100,Allotted,29
2023,R2,KEA,STATE_KA,43827,43827,AIR,,"Yenepoya Medical College,University Road, Nithyanandar,Deralakatte,Mangalore",MBBS,GM,,204496,Allotted,29
2023,R2,KEA,STATE_KA,43834,43834,AIR,,"Jaya Jagadguru Murugharajendra Medical College,Davangere,Davangere District",MBBS,GM,,141446,Allotted,29
2023,R2,KEA,STATE_KA,43871,43871,AIR,,"Dr. B.R. Ambedkar Medical College,Kadugondanahalli,Bangalore",MBBS,GM,,141446,Allotted,29
2023,R2,KEA,STATE_KA,43972,43972,AIR,,"Yenepoya Medical College,University Road, Nithyanandar,Deralakatte,Mangalore",MBBS,GM,,204496,Allotted,29
2023,R2,KEA,STATE_KA,44038,44038,AIR,,"M.S.Ramaiah Medical College,MSR Nagar, MSRIT Post,Mathikere,Bangalore",MBBS,3BR,,141446,Allotted,29
2023,R2,KEA,STATE_KA,44043,44043,AIR,,"Kempegowda Institute of Medical Sciences,B.S.K II Stage,Near B D A Complex,Bangalore",MBBS,GMP,,1092852,Allotted,29
2023,R2,KEA,STATE_KA,44049,44049,AIR,,"Gulbarga Institute of Medical Sciences,VIRESHNAGAR SEDAM ROAD,GULBARGA",MBBS,GMKH,,60100,Allotted,29
2023,R2,KEA,STATE_KA,44087,44087,AIR,,"M.S.Ramaiah Medical College,MSR Nagar, MSRIT Post,Mathikere,Bangalore",MBBS,OPN,,2215750,Allotted,29
2023,R2,KEA,STATE_KA,44090,44090,AIR,,"East Point College of Medical Sciences and Research Center,Bangalore",MBBS,OPN,,1092852,Allotted,29
