year,round,authority,counselling_scope,rank_raw,air,rank_type,allotted_quota,college_raw,course,seat_category,candidate_category,fee,status,source_id
2025,R3,KEA,STATE_KA,3478,3478,AIR,,"Bangalore Medical College,NO- 2, Fort , K R ROAD,Bangalore",MBBS,GM,,64350,Allotted,34
2025,R3,KEA,STATE_KA,10468,10468,AIR,,"Shri Atal Bihari Vajpayee Institute of Medical Science,,Bengaluru",MBBS,GM,,64350,Allotted,34
2025,R3,KEA,STATE_KA,17479,17479,AIR,,"Mysore Medical College,Irwin Road,,Mysore",MBBS,GM,,64350,Allotted,34
2025,R3,KEA,STATE_KA,21922,21922,AIR,,"Chikkamagaluru Institute of Medical Sciences,,Chikkamagaluru",MBBS,GM,,64350,Allotted,34
2025,R3,KEA,STATE_KA,29482,29482,AIR,,"Kempegowda Institute of Medical Sciences,B.S.K II Stage,,Bangalore",MBBS,OPN,,1200117,Allotted,34
2025,R3,KEA,STATE_KA,30115,30115,AIR,,"Kempegowda Institute of Medical Sciences,B.S.K II Stage,,Bangalore",MBBS,OPN,,1200117,Allotted,34
2025,R3,KEA,STATE_KA,32055,32055,AIR,,"Kempegowda Institute of Medical Sciences,B.S.K II Stage,,Bangalore",MBBS,OPN,,1200117,Allotted,34
2025,R3,KEA,STATE_KA,33999,33999,AIR,,"Kempegowda Institute of Medical Sciences,B.S.K II Stage,,Bangalore",MBBS,OPN,,1200117,Allotted,34
2025,R3,KEA,STATE_KA,36379,36379,AIR,,"A.J.Institute of Medical Sciences,NH - 66, Kuntikana,Mangalore",MBBS,GM,,153571,Allotted,34
2025,R3,KEA,STATE_KA,40653,40653,AIR,,"Dr. B.R. Ambedkar Medical College,Kadugondanahalli,,Ban galore",MBBS,OPN,,1200117,Allotted,34
2025,R3,KEA,STATE_KA,41216,41216,AIR,,"A.J.Institute of Medical Sciences,NH - 66, Kuntikana,Mangalore",MBBS,GM,,153571,Allotted,34
2025,R3,KEA,STATE_KA,41774,41774,AIR,,"Bidar Institute of Medical Sciences,Udgir Road,,Bidar",MBBS,GM,,64350,Allotted,34
2025,R3,KEA,STATE_KA,42574,42574,AIR,,"BGS Medical College and Hospital(BGS MCH) Nagarur Dasanapura Hobli Banglore North,BANGALORE -562123",MBBS,GM,,156621,Allotted,34
2025,R3,KEA,STATE_KA,42725,42725,AIR,,"A.J.Institute of Medical Sciences,NH - 66, Kuntikana,Mangalore",MBBS,GM,,153571,Allotted,34
2025,R3,KEA,STATE_KA,43243,43243,AIR,,"A.J.Institute of Medical Sciences,NH - 66, Kuntikana,Mangalore",MBBS,GM,,153571,Allotted,34
2025,R3,KEA,STATE_KA,44094,44094,AIR,,"A.J.Institute of Medical Sciences,NH - 66, Kuntikana,Mangalore",MBBS,GM,,153571,Allotted,34
2025,R3,KEA,STATE_KA,47549,47549,AIR,,"A.J.Institute of Medical Sciences,NH - 66, Kuntikana,Mangalore",MBBS,OPN,,1200117,Allotted,34
2025,R3,KEA,STATE_KA,48881,48881,AIR,,"A.J.Institute of Medical Sciences,NH - 66, Kuntikana,Mangalore",MBBS,OPN,,1200117,Allotted,34
2025,R3,KEA,STATE_KA,50727,50727,AIR,,"Jaya Jagadguru Murugharajendra Medical College,,Davangere District",MBBS,OPN,,1200117,Allotted,34
2025,R3,KEA,STATE_KA,51854,51854,AIR,,"M.V.J.Medical College and Research Hospital,NH-4, Dandupalya, Kolathur -,Channasandra, Bangalore",MBBS,OPN,,1200117,Allotted,34
