year,round,authority,counselling_scope,rank_raw,air,rank_type,allotted_quota,college_raw,course,seat_category,candidate_category,fee,status,source_id
2025,R2,KEA,STATE_KA,398,398,AIR,,"Bangalore Medical College,NO- 2, Fort , K R ROAD,Bangalore",MBBS,GM,,64350,Allotted,33
2025,R2,KEA,STATE_KA,444,444,AIR,,"Bangalore Medical College,NO- 2, Fort , K R ROAD,Bangalore",MBBS,GM,,64350,Allotted,33
2025,R2,KEA,STATE_KA,706,706,AIR,,"Bangalore Medical College,NO- 2, Fort , K R ROAD,Bangalore",MBBS,GM,,64350,Allotted,33
2025,R2,KEA,STATE_KA,723,723,AIR,,"Bangalore Medical College,NO- 2, Fort , K R ROAD,Bangalore",MBBS,GM,,64350,Allotted,33
2025,R2,KEA,STATE_KA,730,730,AIR,,"Bangalore Medical College,NO- 2, Fort , K R ROAD,Bangalore",MBBS,GM,,64350,Allotted,33
2025,R2,KEA,STATE_KA,770,770,AIR,,"Bangalore Medical College,NO- 2, Fort , K R ROAD,Bangalore",MBBS,GM,,64350,Allotted,33
2025,R2,KEA,STATE_KA,842,842,AIR,,"Bangalore Medical College,NO- 2, Fort , K R ROAD,Bangalore",MBBS,GM,,64350,Allotted,33
2025,R2,KEA,STATE_KA,864,864,AIR,,"Kasturba Medical College,PB No - 53,,Hampanakatta,Mangalore.",MBBS,GM,,153571,Allotted,33
2025,R2,KEA,STATE_KA,937,937,AIR,,"Bangalore Medical College,NO- 2, Fort , K R ROAD,Bangalore",MBBS,GM,,64350,Allotted,33
2025,R2,KEA,STATE_KA,950,950,AIR,,"Bangalore Medical College,NO- 2, Fort , K R ROAD,Bangalore",MBBS,GM,,64350,Allotted,33
2025,R2,KEA,STATE_KA,995,995,AIR,,"Bangalore Medical College,NO- 2, Fort , K R ROAD,Bangalore",MBBS,GM,,64350,Allotted,33
2025,R2,KEA,STATE_KA,1175,1175,AIR,,"Kasturba Medical College,PB No - 53,,Hampanakatta,Mangalore.",MBBS,GM,,153571,Allotted,33
2025,R2,KEA,STATE_KA,1290,1290,AIR,,"Bangalore Medical College,NO- 2, Fort , K R ROAD,Bangalore",MBBS,GM,,64350,Allotted,33
2025,R2,KEA,STATE_KA,1291,1291,AIR,,"Bangalore Medical College,NO- 2, Fort , K R ROAD,Bangalore",MBBS,GM,,64350,Allotted,33
2025,R2,KEA,STATE_KA,1344,1344,AIR,,"Bangalore Medical College,NO- 2, Fort , K R ROAD,Bangalore",MBBS,GM,,64350,Allotted,33
2025,R2,KEA,STATE_KA,1452,1452,AIR,,"Bangalore Medical College,NO- 2, Fort , K R ROAD,Bangalore",MBBS,GM,,64350,Allotted,33
2025,R2,KEA,STATE_KA,1462,1462,AIR,,"Bangalore Medical College,NO- 2, Fort , K R ROAD,Bangalore",MBBS,GM,,64350,Allotted,33
2025,R2,KEA,STATE_KA,1469,1469,AIR,,"Bangalore Medical College,NO- 2, Fort , K R ROAD,Bangalore",MBBS,GM,,64350,Allotted,33
2025,R2,KEA,STATE_KA,1483,1483,AIR,,"Bangalore Medical College,NO- 2, Fort , K R ROAD,Bangalore",MBBS,GM,,64350,Allotted,33
