year,round,college_code,college_name,course,seat_type,category,closing_rank
2020,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,1G,9433
2020,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,1R,21993
2020,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,2AG,11203
2020,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,2AK,12765
2020,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,2AR,13831
2020,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,2BG,14781
2020,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,2BR,17375
2020,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,3AG,6208
2020,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,3AR,8056
2020,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,3BG,5572
2020,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,3BK,15938
2020,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,3BR,7663
2020,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,GM,3857
2020,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,GMK,11648
2020,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,GMR,7097
2020,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,SCG,33725
2020,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,SCK,72533
2020,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,SCR,55546
2020,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,STG,23561
2020,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,STR,29712
2020,R1,M002,"Dr. B.R. Ambedkar Medical College, Bangalore",MBBS,GOVT,1G,54032
2020,R1,M002,"Dr. B.R. Ambedkar Medical College, Bangalore",MBBS,GOVT,1R,85468
2020,R1,M002,"Dr. B.R. Ambedkar Medical College, Bangalore",MBBS,GOVT,2AG,56337
2020,R1,M002,"Dr. B.R. Ambedkar Medical College, Bangalore",MBBS,GOVT,2AR,72421
2020,R1,M002,"Dr. B.R. Ambedkar Medical College, Bangalore",MBBS,GOVT,2BG,39417
2020,R1,M002,"Dr. B.R. Ambedkar Medical College, Bangalore",MBBS,GOVT,3AG,41071
2020,R1,M002,"Dr. B.R. Ambedkar Medical College, Bangalore",MBBS,GOVT,3BG,50313
2020,R1,M002,"Dr. B.R. Ambedkar Medical College, Bangalore",MBBS,GOVT,GM,37612
2020,R1,M002,"Dr. B.R. Ambedkar Medical College, Bangalore",MBBS,GOVT,GMK,83547
2020,R1,M002,"Dr. B.R. Ambedkar Medical College, Bangalore",MBBS,GOVT,GMR,69204
2020,R1,M002,"Dr. B.R. Ambedkar Medical College, Bangalore",MBBS,GOVT,SCG,138199
2020,R1,M002,"Dr. B.R. Ambedkar Medical College, Bangalore",MBBS,GOVT,SCR,180454
2020,R1,M002,"Dr. B.R. Ambedkar Medical College, Bangalore",MBBS,GOVT,STG,91865
2020,R1,M003,"Kempegowda Institute of Medical Sciences, Bangalore",MBBS,GOVT,1G,36571
2020,R1,M003,"Kempegowda Institute of Medical Sciences, Bangalore",MBBS,GOVT,1R,78024
2020,R1,M003,"Kempegowda Institute of Medical Sciences, Bangalore",MBBS,GOVT,2AG,44752
2020,R1,M003,"Kempegowda Institute of Medical Sciences, Bangalore",MBBS,GOVT,2AR,69294
2020,R1,M003,"Kempegowda Institute of Medical Sciences, Bangalore",MBBS,GOVT,2BG,21722
2020,R1,M003,"Kempegowda Institute of Medical Sciences, Bangalore",MBBS,GOVT,2BR,59802
2020,R1,M003,"Kempegowda Institute of Medical Sciences, Bangalore",MBBS,GOVT,3AG,27156
2020,R1,M003,"Kempegowda Institute of Medical Sciences, Bangalore",MBBS,GOVT,3AR,53478
2020,R1,M003,"Kempegowda Institute of Medical Sciences, Bangalore",MBBS,GOVT,3BG,32971
2020,R1,M003,"Kempegowda Institute of Medical Sciences, Bangalore",MBBS,GOVT,GM,20939
2020,R1,M003,"Kempegowda Institute of Medical Sciences, Bangalore",MBBS,GOVT,GMK,82154
2020,R1,M003,"Kempegowda Institute of Medical Sciences, Bangalore",MBBS,GOVT,GMR,49413
2020,R1,M003,"Kempegowda Institute of Medical Sciences, Bangalore",MBBS,GOVT,SCG,123528
2020,R1,M003,"Kempegowda Institute of Medical Sciences, Bangalore",MBBS,GOVT,SCR,152949
2020,R1,M003,"Kempegowda Institute of Medical Sciences, Bangalore",MBBS,GOVT,STG,83867
2020,R1,M004,"M.S.Ramaiah Medical College, Bangalore",MBBS,GOVT,1G,30784
2020,R1,M004,"M.S.Ramaiah Medical College, Bangalore",MBBS,GOVT,2AG,37020
2020,R1,M004,"M.S.Ramaiah Medical College, Bangalore",MBBS,GOVT,2AR,66672
2020,R1,M004,"M.S.Ramaiah Medical College, Bangalore",MBBS,GOVT,2BG,25296
2020,R1,M004,"M.S.Ramaiah Medical College, Bangalore",MBBS,GOVT,3AG,15924
2020,R1,M004,"M.S.Ramaiah Medical College, Bangalore",MBBS,GOVT,3BG,21148
2020,R1,M004,"M.S.Ramaiah Medical College, Bangalore",MBBS,GOVT,GM,12203
2020,R1,M004,"M.S.Ramaiah Medical College, Bangalore",MBBS,GOVT,GMK,70926
2020,R1,M004,"M.S.Ramaiah Medical College, Bangalore",MBBS,GOVT,GMR,41768
2020,R1,M004,"M.S.Ramaiah Medical College, Bangalore",MBBS,GOVT,SCG,96215
2020,R1,M004,"M.S.Ramaiah Medical College, Bangalore",MBBS,GOVT,SCR,114963
2020,R1,M004,"M.S.Ramaiah Medical College, Bangalore",MBBS,GOVT,STG,43325
2020,R1,M005,"Khaja Bande Navaz Institute Of Medical Sciences, Gulbarga",MBBS,GOVT,2AG,67816
2020,R1,M005,"Khaja Bande Navaz Institute Of Medical Sciences, Gulbarga",MBBS,GOVT,3AG,61985
2020,R1,M005,"Khaja Bande Navaz Institute Of Medical Sciences, Gulbarga",MBBS,GOVT,GM,61842
2020,R1,M005,"Khaja Bande Navaz Institute Of Medical Sciences, Gulbarga",MBBS,GOVT,SCG,154256
2020,R1,M008,"M.V.J.Medical College and Research Hospital, Channasandra, Bangalore",MBBS,GOVT,1G,48478
2020,R1,M008,"M.V.J.Medical College and Research Hospital, Channasandra, Bangalore",MBBS,GOVT,2AG,71760
2020,R1,M008,"M.V.J.Medical College and Research Hospital, Channasandra, Bangalore",MBBS,GOVT,2AR,75691
2020,R1,M008,"M.V.J.Medical College and Research Hospital, Channasandra, Bangalore",MBBS,GOVT,2BG,54391
2020,R1,M008,"M.V.J.Medical College and Research Hospital, Channasandra, Bangalore",MBBS,GOVT,3AG,50421
2020,R1,M008,"M.V.J.Medical College and Research Hospital, Channasandra, Bangalore",MBBS,GOVT,3BG,52349
2020,R1,M008,"M.V.J.Medical College and Research Hospital, Channasandra, Bangalore",MBBS,GOVT,GM,47826
2020,R1,M008,"M.V.J.Medical College and Research Hospital, Channasandra, Bangalore",MBBS,GOVT,GMK,87077
2020,R1,M008,"M.V.J.Medical College and Research Hospital, Channasandra, Bangalore",MBBS,GOVT,GMR,73063
2020,R1,M008,"M.V.J.Medical College and Research Hospital, Channasandra, Bangalore",MBBS,GOVT,SCG,153991
2020,R1,M008,"M.V.J.Medical College and Research Hospital, Channasandra, Bangalore",MBBS,GOVT,SCR,179435
2020,R1,M008,"M.V.J.Medical College and Research Hospital, Channasandra, Bangalore",MBBS,GOVT,STG,109792
2020,R1,M009,"Vydehi Institute of Medical Science and Research Centre, Bangalore",MBBS,GOVT,1G,38879
2020,R1,M009,"Vydehi Institute of Medical Science and Research Centre, Bangalore",MBBS,GOVT,1R,90743
2020,R1,M009,"Vydehi Institute of Medical Science and Research Centre, Bangalore",MBBS,GOVT,2AG,48469
2020,R1,M009,"Vydehi Institute of Medical Science and Research Centre, Bangalore",MBBS,GOVT,2AK,94725
