year,round,college_code,college_name,course,seat_type,category,closing_rank
2023,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,1G,13166
2023,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,1R,16214
2023,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,2AG,9446
2023,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,2AK,12228
2023,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,2AR,14839
2023,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,2BG,5695
2023,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,2BR,8693
2023,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,3AG,5545
2023,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,3AR,8224
2023,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,3BG,5871
2023,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,3BR,8004
2023,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,GM,2995
2023,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,GMK,8812
2023,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,GMR,7702
2023,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,SCG,34912
2023,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,SCK,59688
2023,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,SCR,47593
2023,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,STG,37149
2023,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,STR,46463
2023,R1,M002,"Dr. B.R. Ambedkar Medical College, Bangalore",MBBS,GOVT,1K,130584
2023,R1,M002,"Dr. B.R. Ambedkar Medical College, Bangalore",MBBS,GOVT,1R,90622
2023,R1,M002,"Dr. B.R. Ambedkar Medical College, Bangalore",MBBS,GOVT,2AG,74620
2023,R1,M002,"Dr. B.R. Ambedkar Medical College, Bangalore",MBBS,GOVT,2AK,91706
2023,R1,M002,"Dr. B.R. Ambedkar Medical College, Bangalore",MBBS,GOVT,2AR,80160
2023,R1,M002,"Dr. B.R. Ambedkar Medical College, Bangalore",MBBS,GOVT,2BK,104060
2023,R1,M002,"Dr. B.R. Ambedkar Medical College, Bangalore",MBBS,GOVT,2BR,82949
2023,R1,M002,"Dr. B.R. Ambedkar Medical College, Bangalore",MBBS,GOVT,3AK,88175
2023,R1,M002,"Dr. B.R. Ambedkar Medical College, Bangalore",MBBS,GOVT,3AR,66929
2023,R1,M002,"Dr. B.R. Ambedkar Medical College, Bangalore",MBBS,GOVT,3BG,51756
2023,R1,M002,"Dr. B.R. Ambedkar Medical College, Bangalore",MBBS,GOVT,3BK,86679
2023,R1,M002,"Dr. B.R. Ambedkar Medical College, Bangalore",MBBS,GOVT,3BR,64922
2023,R1,M002,"Dr. B.R. Ambedkar Medical College, Bangalore",MBBS,GOVT,GM,40896
2023,R1,M002,"Dr. B.R. Ambedkar Medical College, Bangalore",MBBS,GOVT,GMK,83324
2023,R1,M002,"Dr. B.R. Ambedkar Medical College, Bangalore",MBBS,GOVT,GMR,64916
2023,R1,M002,"Dr. B.R. Ambedkar Medical College, Bangalore",MBBS,GOVT,SCG,151084
2023,R1,M002,"Dr. B.R. Ambedkar Medical College, Bangalore",MBBS,GOVT,SCK,162819
2023,R1,M002,"Dr. B.R. Ambedkar Medical College, Bangalore",MBBS,GOVT,SCR,168037
2023,R1,M002,"Dr. B.R. Ambedkar Medical College, Bangalore",MBBS,GOVT,STG,137003
2023,R1,M002,"Dr. B.R. Ambedkar Medical College, Bangalore",MBBS,GOVT,STK,238100
2023,R1,M002,"Dr. B.R. Ambedkar Medical College, Bangalore",MBBS,GOVT,STR,175171
2023,R1,M003,"Kempegowda Institute of Medical Sciences, Bangalore",MBBS,GOVT,1G,48951
2023,R1,M003,"Kempegowda Institute of Medical Sciences, Bangalore",MBBS,GOVT,2AG,45123
2023,R1,M003,"Kempegowda Institute of Medical Sciences, Bangalore",MBBS,GOVT,2AR,51170
2023,R1,M003,"Kempegowda Institute of Medical Sciences, Bangalore",MBBS,GOVT,2BG,29920
2023,R1,M003,"Kempegowda Institute of Medical Sciences, Bangalore",MBBS,GOVT,3AG,23220
2023,R1,M003,"Kempegowda Institute of Medical Sciences, Bangalore",MBBS,GOVT,3AR,38389
2023,R1,M003,"Kempegowda Institute of Medical Sciences, Bangalore",MBBS,GOVT,3BG,33638
2023,R1,M003,"Kempegowda Institute of Medical Sciences, Bangalore",MBBS,GOVT,GM,19022
2023,R1,M003,"Kempegowda Institute of Medical Sciences, Bangalore",MBBS,GOVT,GMK,68379
2023,R1,M003,"Kempegowda Institute of Medical Sciences, Bangalore",MBBS,GOVT,GMR,35849
2023,R1,M003,"Kempegowda Institute of Medical Sciences, Bangalore",MBBS,GOVT,SCG,113879
2023,R1,M003,"Kempegowda Institute of Medical Sciences, Bangalore",MBBS,GOVT,SCR,175184
2023,R1,M003,"Kempegowda Institute of Medical Sciences, Bangalore",MBBS,GOVT,STG,131125
2023,R1,M003,"Kempegowda Institute of Medical Sciences, Bangalore",MBBS,GOVT,STR,173540
2023,R1,M004,"M.S.Ramaiah Medical College, Bangalore",MBBS,GOVT,1G,41256
2023,R1,M004,"M.S.Ramaiah Medical College, Bangalore",MBBS,GOVT,2AG,35513
2023,R1,M004,"M.S.Ramaiah Medical College, Bangalore",MBBS,GOVT,2AK,83595
2023,R1,M004,"M.S.Ramaiah Medical College, Bangalore",MBBS,GOVT,2AR,41376
2023,R1,M004,"M.S.Ramaiah Medical College, Bangalore",MBBS,GOVT,2BG,24638
2023,R1,M004,"M.S.Ramaiah Medical College, Bangalore",MBBS,GOVT,3AG,16912
2023,R1,M004,"M.S.Ramaiah Medical College, Bangalore",MBBS,GOVT,3BG,28805
2023,R1,M004,"M.S.Ramaiah Medical College, Bangalore",MBBS,GOVT,3BR,44038
2023,R1,M004,"M.S.Ramaiah Medical College, Bangalore",MBBS,GOVT,GM,13180
2023,R1,M004,"M.S.Ramaiah Medical College, Bangalore",MBBS,GOVT,GMK,76138
2023,R1,M004,"M.S.Ramaiah Medical College, Bangalore",MBBS,GOVT,GMR,28106
2023,R1,M004,"M.S.Ramaiah Medical College, Bangalore",MBBS,GOVT,SCG,105689
2023,R1,M004,"M.S.Ramaiah Medical College, Bangalore",MBBS,GOVT,SCK,210332
2023,R1,M004,"M.S.Ramaiah Medical College, Bangalore",MBBS,GOVT,SCR,164046
2023,R1,M004,"M.S.Ramaiah Medical College, Bangalore",MBBS,GOVT,STG,106999
2023,R1,M005,"Khaja Bande Navaz Institute Of Medical Sciences, Gulbarga",MBBS,GOVT,2AG,86972
2023,R1,M005,"Khaja Bande Navaz Institute Of Medical Sciences, Gulbarga",MBBS,GOVT,3AG,71031
2023,R1,M005,"Khaja Bande Navaz Institute Of Medical Sciences, Gulbarga",MBBS,GOVT,3BG,71052
2023,R1,M005,"Khaja Bande Navaz Institute Of Medical Sciences, Gulbarga",MBBS,GOVT,GM,69665
2023,R1,M005,"Khaja Bande Navaz Institute Of Medical Sciences, Gulbarga",MBBS,GOVT,GMR,82487
2023,R1,M005,"Khaja Bande Navaz Institute Of Medical Sciences, Gulbarga",MBBS,GOVT,SCG,202151
2023,R1,M005,"Khaja Bande Navaz Institute Of Medical Sciences, Gulbarga",MBBS,GOVT,STK,242274
2023,R1,M008,"M.V.J.Medical College and Research Hospital, Channasandra, Bangalore",MBBS,GOVT,1G,68656
2023,R1,M008,"M.V.J.Medical College and Research Hospital, Channasandra, Bangalore",MBBS,GOVT,2AG,79737
2023,R1,M008,"M.V.J.Medical College and Research Hospital, Channasandra, Bangalore",MBBS,GOVT,2BG,53487
2023,R1,M008,"M.V.J.Medical College and Research Hospital, Channasandra, Bangalore",MBBS,GOVT,3AG,54423
2023,R1,M008,"M.V.J.Medical College and Research Hospital, Channasandra, Bangalore",MBBS,GOVT,3BG,61782
2023,R1,M008,"M.V.J.Medical College and Research Hospital, Channasandra, Bangalore",MBBS,GOVT,GM,52570
2023,R1,M008,"M.V.J.Medical College and Research Hospital, Channasandra, Bangalore",MBBS,GOVT,GMK,93660
2023,R1,M008,"M.V.J.Medical College and Research Hospital, Channasandra, Bangalore",MBBS,GOVT,GMR,67217
2023,R1,M008,"M.V.J.Medical College and Research Hospital, Channasandra, Bangalore",MBBS,GOVT,SCG,170275
2023,R1,M008,"M.V.J.Medical College and Research Hospital, Channasandra, Bangalore",MBBS,GOVT,SCR,181260
2023,R1,M008,"M.V.J.Medical College and Research Hospital, Channasandra, Bangalore",MBBS,GOVT,STG,193418
2023,R1,M009,"Vydehi Institute of Medical Science and Research Centre, Bangalore",MBBS,GOVT,1G,62194
2023,R1,M009,"Vydehi Institute of Medical Science and Research Centre, Bangalore",MBBS,GOVT,2AG,56126
2023,R1,M009,"Vydehi Institute of Medical Science and Research Centre, Bangalore",MBBS,GOVT,2AR,69985
2023,R1,M009,"Vydehi Institute of Medical Science and Research Centre, Bangalore",MBBS,GOVT,2BG,35660
2023,R1,M009,"Vydehi Institute of Medical Science and Research Centre, Bangalore",MBBS,GOVT,3AG,31317
2023,R1,M009,"Vydehi Institute of Medical Science and Research Centre, Bangalore",MBBS,GOVT,3BG,51156
2023,R1,M009,"Vydehi Institute of Medical Science and Research Centre, Bangalore",MBBS,GOVT,GM,24652
2023,R1,M009,"Vydehi Institute of Medical Science and Research Centre, Bangalore",MBBS,GOVT,GMK,83507
2023,R1,M009,"Vydehi Institute of Medical Science and Research Centre, Bangalore",MBBS,GOVT,GMR,57625
2023,R1,M009,"Vydehi Institute of Medical Science and Research Centre, Bangalore",MBBS,GOVT,SCG,158163
2023,R1,M009,"Vydehi Institute of Medical Science and Research Centre, Bangalore",MBBS,GOVT,SCR,185303
2023,R1,M009,"Vydehi Institute of Medical Science and Research Centre, Bangalore",MBBS,GOVT,STG,140353
2023,R1,M009,"Vydehi Institute of Medical Science and Research Centre, Bangalore",MBBS,GOVT,STR,161721
2023,R1,M010,"A.J.Institute of Medical Sciences, Mangalore",MBBS,GOVT,1G,60948
2023,R1,M010,"A.J.Institute of Medical Sciences, Mangalore",MBBS,GOVT,2AG,73845
2023,R1,M010,"A.J.Institute of Medical Sciences, Mangalore",MBBS,GOVT,2AK,91528
