year,round,college_code,college_name,course,seat_type,category,closing_rank
2023,R2,M061,,MBBS-GOVT.,GOVT,STG,170607
2023,R2,M072,,MBBS-GOVT.,GOVT,STG,119527
2023,R2,M091,,MBBS-PRIV.,PRIV,GMP,133103
2023,R2,M064,,MBBS-GOVT.,GOVT,2AK,105945
2023,R2,M037,,MBBS-GOVT.,GOVT,SCK,106246
2023,R2,M084,,MBBS-GOVT.,GOVT,SCG,147860
2023,R2,M087,,MBBS-GOVT.,GOVT,2AKH,106618
2023,R2,M070,,MBBS-GOVT.,GOVT,2BRH,107110
2023,R2,M084,,MBBS-GOVT.,GOVT,STG,130389
2023,R2,M063,,MBBS-GOVT.,GOVT,STR,109224
2023,R2,M024,,MBBS-GOVT.,GOVT,SCH,107306
2023,R2,M041,,MBBS-GOVT.,GOVT,STH,115767
2023,R2,M002,,MBBS-GOVT.,GOVT,3AK,107731
2023,R2,M079,,MBBS-PRIV.,PRIV,GMP,129756
2023,R2,M043,,MBBS-GOVT.,GOVT,2AKH,108224
2023,R2,M024,,MBBS-GOVT.,GOVT,STH,110314
2023,R2,M050,,MBBS-PRIV.,PRIV,GMPH,141249
2023,R2,M023,,MBBS-GOVT.,GOVT,2BK,108687
2023,R2,M066,,MBBS-GOVT.,GOVT,STH,109136
2023,R2,M062,,MBBS-PRIV.,PRIV,GMPH,125109
2023,R2,M077,,MBBS-GOVT.,GOVT,SCG,137701
2023,R2,M036,,MBBS-PRIV.,PRIV,OPN,177703
2023,R2,M077,,MBBS-GOVT.,GOVT,1K,110189
2023,R2,M074,,MBBS-GOVT.,GOVT,STG,122541
2023,R2,M063,,MBBS-GOVT.,GOVT,SCK,110312
2023,R2,M073,,MBBS-GOVT.,GOVT,STG,110751
2023,R2,M024,,MBBS-GOVT.,GOVT,STR,111057
2023,R2,M072,,MBBS-GOVT.,GOVT,SCH,134327
2023,R2,M008,,MBBS-PRIV.,PRIV,MA,317911
2023,R2,M077,,MBBS-GOVT.,GOVT,STG,118838
2023,R2,M085,,MBBS-GOVT.,GOVT,STG,148822
2023,R2,M086,,MBBS-GOVT.,GOVT,SCG,166389
2023,R2,M045,,MBBS-GOVT.,GOVT,STG,119714
2023,R2,M033,,MBBS-PRIV.,PRIV,GMP,133639
2023,R2,M044,,MBBS-GOVT.,GOVT,STG,113578
2023,R2,M025,,MBBS-GOVT.,GOVT,JK,114957
2023,R2,M035,,MBBS-GOVT.,GOVT,STG,182146
2023,R2,M025,,MBBS-GOVT.,GOVT,SCR,118604
2023,R2,M061,,MBBS-GOVT.,GOVT,SCG,167079
2023,R2,M044,,MBBS-GOVT.,GOVT,STH,151482
2023,R2,M083,,MBBS-GOVT.,GOVT,2AKH,115784
2023,R2,M035,,MBBS-PRIV.,PRIV,GMPH,150643
2023,R2,M063,,MBBS-GOVT.,GOVT,NCC,116606
2023,R2,M045,,MBBS-GOVT.,GOVT,SCG,136824
2023,R2,M025,,MBBS-GOVT.,GOVT,SCK,116734
2023,R2,M063,,MBBS-GOVT.,GOVT,SCH,127334
2023,R2,M070,,MBBS-GOVT.,GOVT,SCG,132955
2023,R2,M070,,MBBS-GOVT.,GOVT,JK,117584
2023,R2,M079,,MBBS-PRIV.,PRIV,MM,282157
2023,R2,M001,,MBBS-GOVT.,GOVT,PH,509550
2023,R2,M003,,MBBS-GOVT.,GOVT,STG,131125
2023,R2,M041,,MBBS-GOVT.,GOVT,STRH,118763
2023,R2,M025,,MBBS-GOVT.,GOVT,STR,118833
2023,R2,M025,,MBBS-GOVT.,GOVT,SCH,119046
2023,R2,M085,,MBBS-GOVT.,GOVT,1K,119047
2023,R2,M024,,MBBS-GOVT.,GOVT,SCK,119880
2023,R2,M063,,MBBS-GOVT.,GOVT,SCR,121714
2023,R2,M076,,MBBS-GOVT.,GOVT,STG,131118
2023,R2,M073,,MBBS-GOVT.,GOVT,STH,156604
2023,R2,M022,,MBBS-GOVT.,GOVT,STG,122056
2023,R2,M073,,MBBS-GOVT.,GOVT,SCG,130982
2023,R2,M022,,MBBS-GOVT.,GOVT,SCG,122289
