year,round,college_code,college_name,course,seat_type,category,closing_rank
2021,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,1G,9831
2021,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,1R,15610
2021,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,2AG,10697
2021,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,2AK,15865
2021,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,2AR,17082
2021,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,2BG,9146
2021,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,2BR,9751
2021,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,3AG,2957
2021,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,3AR,7883
2021,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,3BG,5091
2021,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,3BK,13494
2021,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,3BR,8285
2021,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,GM,2138
2021,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,GMK,10607
2021,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,GMR,6270
2021,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,SCG,42317
2021,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,SCK,57580
2021,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,SCR,52235
2021,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,STG,24215
2021,R1,M002,"Dr. B.R. Ambedkar Medical College, Bangalore",MBBS,GOVT,1R,72336
2021,R1,M002,"Dr. B.R. Ambedkar Medical College, Bangalore",MBBS,GOVT,2AG,56781
2021,R1,M002,"Dr. B.R. Ambedkar Medical College, Bangalore",MBBS,GOVT,2AR,59926
2021,R1,M002,"Dr. B.R. Ambedkar Medical College, Bangalore",MBBS,GOVT,2BR,64184
2021,R1,M002,"Dr. B.R. Ambedkar Medical College, Bangalore",MBBS,GOVT,3AG,44363
2021,R1,M002,"Dr. B.R. Ambedkar Medical College, Bangalore",MBBS,GOVT,3AR,57996
2021,R1,M002,"Dr. B.R. Ambedkar Medical College, Bangalore",MBBS,GOVT,3BG,45083
2021,R1,M002,"Dr. B.R. Ambedkar Medical College, Bangalore",MBBS,GOVT,GM,38131
2021,R1,M002,"Dr. B.R. Ambedkar Medical College, Bangalore",MBBS,GOVT,GMK,68820
2021,R1,M002,"Dr. B.R. Ambedkar Medical College, Bangalore",MBBS,GOVT,GMR,57836
2021,R1,M002,"Dr. B.R. Ambedkar Medical College, Bangalore",MBBS,GOVT,SCG,137527
2021,R1,M002,"Dr. B.R. Ambedkar Medical College, Bangalore",MBBS,GOVT,SCR,143929
2021,R1,M002,"Dr. B.R. Ambedkar Medical College, Bangalore",MBBS,GOVT,STG,76327
2021,R1,M003,"Kempegowda Institute of Medical Sciences, Bangalore",MBBS,GOVT,1G,33189
2021,R1,M003,"Kempegowda Institute of Medical Sciences, Bangalore",MBBS,GOVT,2AG,46703
2021,R1,M003,"Kempegowda Institute of Medical Sciences, Bangalore",MBBS,GOVT,2AR,55077
2021,R1,M003,"Kempegowda Institute of Medical Sciences, Bangalore",MBBS,GOVT,2BG,31876
2021,R1,M003,"Kempegowda Institute of Medical Sciences, Bangalore",MBBS,GOVT,3AG,25268
2021,R1,M003,"Kempegowda Institute of Medical Sciences, Bangalore",MBBS,GOVT,3BG,29482
2021,R1,M003,"Kempegowda Institute of Medical Sciences, Bangalore",MBBS,GOVT,GM,22501
2021,R1,M003,"Kempegowda Institute of Medical Sciences, Bangalore",MBBS,GOVT,GMK,70322
2021,R1,M003,"Kempegowda Institute of Medical Sciences, Bangalore",MBBS,GOVT,GMR,49278
2021,R1,M003,"Kempegowda Institute of Medical Sciences, Bangalore",MBBS,GOVT,SCG,117848
2021,R1,M003,"Kempegowda Institute of Medical Sciences, Bangalore",MBBS,GOVT,SCR,147099
2021,R1,M003,"Kempegowda Institute of Medical Sciences, Bangalore",MBBS,GOVT,STG,70705
2021,R1,M004,"M.S.Ramaiah Medical College, Bangalore",MBBS,GOVT,1G,11494
2021,R1,M004,"M.S.Ramaiah Medical College, Bangalore",MBBS,GOVT,1R,65561
2021,R1,M004,"M.S.Ramaiah Medical College, Bangalore",MBBS,GOVT,2AG,35346
2021,R1,M004,"M.S.Ramaiah Medical College, Bangalore",MBBS,GOVT,2AK,71076
2021,R1,M004,"M.S.Ramaiah Medical College, Bangalore",MBBS,GOVT,2AR,50716
2021,R1,M004,"M.S.Ramaiah Medical College, Bangalore",MBBS,GOVT,2BG,20160
2021,R1,M004,"M.S.Ramaiah Medical College, Bangalore",MBBS,GOVT,2BR,63544
2021,R1,M004,"M.S.Ramaiah Medical College, Bangalore",MBBS,GOVT,3AG,12521
2021,R1,M004,"M.S.Ramaiah Medical College, Bangalore",MBBS,GOVT,3AR,35771
2021,R1,M004,"M.S.Ramaiah Medical College, Bangalore",MBBS,GOVT,3BG,24584
2021,R1,M004,"M.S.Ramaiah Medical College, Bangalore",MBBS,GOVT,GM,11436
2021,R1,M004,"M.S.Ramaiah Medical College, Bangalore",MBBS,GOVT,GMK,67973
2021,R1,M004,"M.S.Ramaiah Medical College, Bangalore",MBBS,GOVT,GMR,34882
2021,R1,M004,"M.S.Ramaiah Medical College, Bangalore",MBBS,GOVT,SCG,106310
2021,R1,M004,"M.S.Ramaiah Medical College, Bangalore",MBBS,GOVT,SCK,181078
2021,R1,M004,"M.S.Ramaiah Medical College, Bangalore",MBBS,GOVT,SCR,142033
2021,R1,M004,"M.S.Ramaiah Medical College, Bangalore",MBBS,GOVT,STG,61121
2021,R1,M005,"Khaja Bande Navaz Institute Of Medical Sciences, Gulbarga",MBBS,GOVT,1G,75200
2021,R1,M005,"Khaja Bande Navaz Institute Of Medical Sciences, Gulbarga",MBBS,GOVT,2AK,76073
2021,R1,M005,"Khaja Bande Navaz Institute Of Medical Sciences, Gulbarga",MBBS,GOVT,2AR,80358
2021,R1,M005,"Khaja Bande Navaz Institute Of Medical Sciences, Gulbarga",MBBS,GOVT,GM,60921
2021,R1,M005,"Khaja Bande Navaz Institute Of Medical Sciences, Gulbarga",MBBS,GOVT,GMR,71073
