year,round,college_code,college_name,course,seat_type,category,closing_rank
2022,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,1G,13544
2022,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,1R,17803
2022,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,2AG,10288
2022,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,2AK,21036
2022,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,2AR,14778
2022,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,2BG,11031
2022,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,2BR,28836
2022,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,3AG,5561
2022,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,3AR,9983
2022,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,3BG,7248
2022,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,3BR,9994
2022,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,GM,4140
2022,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,GMK,13089
2022,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,GMR,9800
2022,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,SCG,44688
2022,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,SCK,52209
2022,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,SCR,62190
2022,R1,M001,"Bangalore Medical College, Bangalore",MBBS,GOVT,STG,32027
2022,R1,M002,"Dr. B.R. Ambedkar Medical College, Bangalore",MBBS,GOVT,1G,54035
2022,R1,M002,"Dr. B.R. Ambedkar Medical College, Bangalore",MBBS,GOVT,2AG,61256
2022,R1,M002,"Dr. B.R. Ambedkar Medical College, Bangalore",MBBS,GOVT,2AK,85317
2022,R1,M002,"Dr. B.R. Ambedkar Medical College, Bangalore",MBBS,GOVT,2BG,50825
