year,round,college_code,college_name,course,seat_type,category,closing_rank
2024,MOPUP,M001,,MBBS-GOVT.,GOVT,GM,49799
2024,MOPUP,M003,,MBBS-PRIV.,PRIV,OPN,50045
2024,MOPUP,M009,,MBBS-PRIV.,PRIV,OPN,50949
2024,MOPUP,M051,,MBBS-GOVT.,GOVT,GM,53956
2024,MOPUP,M002,,MBBS-PRIV.,PRIV,OPN,71887
2024,MOPUP,M068,,MBBS-PRIV.,PRIV,OPN,70401
2024,MOPUP,M024,,MBBS-GOVT.,GOVT,GM,77296
2024,MOPUP,M050,,MBBS-PRIV.,PRIV,OPN,58773
2024,MOPUP,M061,,MBBS-PRIV.,PRIV,OPN,70563
2024,MOPUP,M003,,MBBS-GOVT.,GOVT,GM,67753
2024,MOPUP,M050,,MBBS-GOVT.,GOVT,GM,69698
2024,MOPUP,M093,,MBBS-PRIV.,PRIV,OPN,169113
2024,MOPUP,M010,,MBBS-PRIV.,PRIV,OPN,74029
2024,MOPUP,M008,,MBBS-PRIV.,PRIV,OPN,72129
2024,MOPUP,M078,,MBBS-PRIV.,PRIV,OPN,86438
2024,MOPUP,M068,,MBBS-GOVT.,GOVT,GM,77982
2024,MOPUP,M062,,MBBS-PRIV.,PRIV,OPN,75395
2024,MOPUP,M009,,MBBS-GOVT.,GOVT,GM,77636
2024,MOPUP,M090,,MBBS-PRIV.,PRIV,OPN,76150
2024,MOPUP,M035,,MBBS-PRIV.,PRIV,OPN,76337
2024,MOPUP,M054,,MBBS-GOVT.,GOVT,GM,77793
2024,MOPUP,M023,,MBBS-GOVT.,GOVT,GM,77906
2024,MOPUP,M032,,MBBS-GOVT.,GOVT,GM,78329
2024,MOPUP,M005,,MBBS-GOVT.,GOVT,GM,78593
2024,MOPUP,M009,,MBBS-GOVT.,GOVT,3AG,78840
2024,MOPUP,M089,,MBBS-GOVT.,GOVT,GM,79532
2024,MOPUP,M020,,MBBS-PRIV.,PRIV,OPN,80772
2024,MOPUP,M045,,MBBS-GOVT.,GOVT,GMH,81627
2024,MOPUP,M079,,MBBS-PRIV.,PRIV,OPN,107303
2024,MOPUP,M042,,MBBS-PRIV.,PRIV,OPN,81694
2024,MOPUP,M071,,MBBS-PRIV.,PRIV,OPN,86181
2024,MOPUP,M002,,MBBS-GOVT.,GOVT,GMH,81781
2024,MOPUP,M070,,MBBS-GOVT.,GOVT,GMH,82150
2024,MOPUP,M069,,MBBS-PRIV.,PRIV,OPN,97973
2024,MOPUP,M003,,MBBS-PRIV.,PRIV,GMP,84923
2024,MOPUP,M096,,MBBS-PRIV.,PRIV,OPN,103714
2024,MOPUP,M081,,MBBS-PRIV.,PRIV,OPN,84648
2024,MOPUP,M067,,MBBS-GOVT.,GOVT,2BG,84995
2024,MOPUP,M068,,MBBS-PRIV.,PRIV,GMP,97894
2024,MOPUP,M043,,MBBS-GOVT.,GOVT,3AH,86261
2024,MOPUP,M024,,MBBS-GOVT.,GOVT,2BG,86330
2024,MOPUP,M067,,MBBS-PRIV.,PRIV,OPN,86462
2024,MOPUP,M061,,MBBS-PRIV.,PRIV,GMP,88063
2024,MOPUP,M022,,MBBS-GOVT.,GOVT,1G,88717
2024,MOPUP,M033,,MBBS-PRIV.,PRIV,OPN,88734
2024,MOPUP,M043,,MBBS-PRIV.,PRIV,OPN,89182
2024,MOPUP,M009,,MBBS-GOVT.,GOVT,GMR,89503
2024,MOPUP,M009,,MBBS-PRIV.,PRIV,GMP,98201
2024,MOPUP,M077,,MBBS-GOVT.,GOVT,2AG,89747
2024,MOPUP,M089,,MBBS-GOVT.,GOVT,GMR,91166
2024,MOPUP,M002,,MBBS-PRIV.,PRIV,GMP,92240
2024,MOPUP,M068,,MBBS-GOVT.,GOVT,2AG,93817
2024,MOPUP,M062,,MBBS-PRIV.,PRIV,GMP,93728
2024,MOPUP,M065,,MBBS-PRIV.,PRIV,OPN,99895
2024,MOPUP,M036,,MBBS-GOVT.,GOVT,2AH,95593
2024,MOPUP,M054,,MBBS-PRIV.,PRIV,OPN,102804
2024,MOPUP,M081,,MBBS-PRIV.,PRIV,GMP,97995
2024,MOPUP,M091,,MBBS-PRIV.,PRIV,OPN,99884
2024,MOPUP,M003,,MBBS-PRIV.,PRIV,GMPH,99985
2024,MOPUP,M065,,MBBS-PRIV.,PRIV,GMP,102162
2024,MOPUP,M050,,MBBS-GOVT.,GOVT,2AR,102309
2024,MOPUP,M071,,MBBS-PRIV.,PRIV,GMPH,102873
2024,MOPUP,M096,,MBBS-PRIV.,PRIV,GMP,105908
2024,MOPUP,M087,,MBBS-GOVT.,GOVT,GMKH,107899
2024,MOPUP,M079,,MBBS-PRIV.,PRIV,MM,113996
2024,MOPUP,M068,,MBBS-GOVT.,GOVT,2AK,123022
2024,MOPUP,M065,,MBBS-PRIV.,PRIV,MU,124221
